"","logFC","logCPM","F","PValue","FDR"
"YER103W",6.42025691918814,9.99951585626363,2945.3264707033,5.07926339307823e-13,3.33809190193101e-09
"YFL014W",9.12384106580364,10.0319246895186,1651.93006477455,7.5349557474291e-12,2.4759864586052e-08
"YBR072W",7.41150470207964,10.5074435334695,1332.94829474299,2.04468551028478e-11,4.4792243911972e-08
"YLR216C",2.63643750093368,9.73239860142021,870.961717505059,1.47562280047104e-10,2.42444826117392e-07
"YBL075C",3.60839666978563,7.47441594697487,766.95585470525,2.65983224161671e-10,3.13653540586818e-07
"YGL009C",-2.93240792739114,8.73870781208402,754.826803505374,2.8635441928194e-10,3.13653540586818e-07
"YOR185C",2.18594590703296,6.10456360976976,705.069670509306,3.92595607634677e-10,3.68591190482157e-07
"YGL121C",2.78477636649254,4.7912847731695,600.487029065861,8.24615433663669e-10,6.77421578754704e-07
"YBR009C",-2.06750650294396,7.73903927874284,578.75374821226,9.77296370216233e-10,7.13643527229009e-07
"YER062C",2.18345506012691,7.44004163628713,558.006229790264,1.15651793887215e-09,7.26840635170566e-07
"YMR169C",3.36809560001681,5.48421131147883,540.01629811695,1.34522516384805e-09,7.26840635170566e-07
"YOR027W",2.18015623412618,10.102048494605,531.385697365647,1.44878173652045e-09,7.26840635170566e-07
"YPL240C",3.52001004703887,11.6362027489885,528.645536571019,1.48370563477694e-09,7.26840635170566e-07
"YDR533C",2.31776530021906,6.48370589263832,520.603503049208,1.5922707470121e-09,7.26840635170566e-07
"YGR043C",3.60318300008663,4.65469272295499,515.018506161122,1.67413008121834e-09,7.26840635170566e-07
"YHR104W",2.42903674793268,7.85612652576863,508.805523526562,1.76954506432274e-09,7.26840635170566e-07
"YDL229W",-2.1931274670787,11.3655697794572,489.127160471068,2.12181349611998e-09,7.82383154971179e-07
"YMR196W",2.10310920159184,7.11773123795144,488.078963568589,2.14286317551449e-09,7.82383154971179e-07
"YBR169C",2.57685033276291,7.4238382929828,477.626038151954,2.36726044397378e-09,8.18822928305036e-07
"YJR016C",-2.39166115531647,9.4667870656824,453.521213199509,3.0035797646459e-09,9.86976310662643e-07
"YBL002W",-1.80654813765486,8.24931190745388,446.737302414717,3.21893004151012e-09,1.00737182060974e-06
"YNL209W",-2.12974557254658,11.0817278171235,433.92084945678,3.67933058431335e-09,1.06286914106132e-06
"YDL130W-A",2.47299713701287,4.75777572052438,432.553658334714,3.73370162636542e-09,1.06286914106132e-06
"YDR214W",2.09333731178744,8.8248560371027,427.152904590756,3.95466097031314e-09,1.06286914106132e-06
"YKL103C",2.0031231918548,7.39267006339074,425.097844803291,4.04317232600928e-09,1.06286914106132e-06
"YPL222W",1.41963065174163,5.43702495210128,421.108871704925,4.22195945781791e-09,1.06718144449151e-06
"YLR178C",3.04673974299645,6.4164022578821,411.759096047058,4.68002138503738e-09,1.13915187194317e-06
"YOR338W",2.18139960105677,6.61769072895017,403.655047391956,5.12664433753796e-09,1.20329666379641e-06
"YGR234W",-2.60219085908369,8.18417415279281,396.565355346874,5.56041617039005e-09,1.26010534730357e-06
"YDR321W",-1.54229217697393,7.46253620415833,383.937201919424,6.44906235659722e-09,1.41277459358523e-06
"YBL064C",1.52530039145999,6.3758731334971,380.94759612533,6.68411504791873e-09,1.41703239015877e-06
"YKL081W",-1.85975511512981,10.2208793097924,362.67399506271,8.37040306037334e-09,1.71907152852417e-06
"YGR019W",1.46753534217529,6.93871027522331,360.223008648767,8.63407413318568e-09,1.71948894555443e-06
"YBR088C",-1.65338268816358,5.98654468917796,347.257604745962,1.02091584963108e-08,1.97337028346337e-06
"YLR420W",-1.47433864150569,6.78818620632213,337.702963464675,1.15967631029301e-08,2.17754077464162e-06
"YLL026W",3.50041190346293,10.5856819719307,324.371271722045,1.3937066061314e-08,2.51849427381823e-06
"YIL111W",1.16677400569155,5.78757889346977,323.149957505116,1.41789848039067e-08,2.51849427381823e-06
"YGL184C",2.81139385656334,4.5102686621356,320.984192211355,1.46232898038232e-08,2.52905948922963e-06
