"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLR429W",7.25621741036205,7.59119120549275,176.307094893502,1.26986561474257e-17,2.04573114379255e-15,29.5124375334114
"YHR103W",7.32656194131612,7.2104150073737,176.241187526702,1.2742618006681e-17,2.04573114379255e-15,29.4873241465354
"YOR330C",7.05152396481143,6.9358135281234,173.467643122899,1.47548279688725e-17,2.04573114379255e-15,29.4865131693224
"YNL239W",6.9931973911658,7.13233630850693,171.563306723509,1.63397781477265e-17,2.04573114379255e-15,29.4414339618763
"YLR248W",7.88028079095698,8.04433587851203,181.600500084939,9.66066748263398e-18,2.04573114379255e-15,29.4348984290573
"YBR283C",7.963329475301,8.2965658120363,180.39640259539,1.02733634674483e-17,2.04573114379255e-15,29.3701442982788
"YER094C",7.09147839462866,7.47222443681543,168.630603677859,1.91627555215071e-17,2.04573114379255e-15,29.3206922958279
"YOR127W",6.92722389309711,6.82084906160655,166.164640292876,2.19579700590103e-17,2.04573114379255e-15,29.2769358170684
"YGL140C",7.50980604059316,7.564480370069,171.237779402013,1.6629148825078e-17,2.04573114379255e-15,29.2726216402329
"YJR042W",6.50460635716927,6.65302215174425,162.815683770744,2.65045670706987e-17,2.04573114379255e-15,29.2228050456993
"YEL022W",7.6312774011961,7.69192298555325,170.323464472995,1.74727412463101e-17,2.04573114379255e-15,29.202586644973
"YGR217W",7.26044426123864,7.08349455542745,166.481625269264,2.15745572933195e-17,2.04573114379255e-15,29.2005732568907
"YKL173W",6.69400411962977,6.67754651129531,162.815799884754,2.65043923640156e-17,2.04573114379255e-15,29.1998410846312
"YNL267W",6.96826581721683,6.9468705198661,163.962426185922,2.48397824240653e-17,2.04573114379255e-15,29.1920902598925
"YIL005W",6.46392775834511,6.68843612794019,161.856089294787,2.7992948859827e-17,2.04573114379255e-15,29.1912677218432
"YMR266W",7.78158607904052,8.13063919577008,171.322841606748,1.65529903700608e-17,2.04573114379255e-15,29.1798544078823
"YJL039C",8.30347634356254,8.22278580854878,178.013843367957,1.16167390666837e-17,2.04573114379255e-15,29.1727458054678
"YBR276C",6.75082369450396,6.6442798627255,162.143482423101,2.75376929117763e-17,2.04573114379255e-15,29.1671726452354
"YDR099W",8.00575589291634,8.37353121923793,173.499814179659,1.47295590286502e-17,2.04573114379255e-15,29.1618555020394
"YER005W",6.71458875338683,6.53686454798206,161.043956706297,2.93251599175772e-17,2.04573114379255e-15,29.1325369182424
"YDL160C",7.61516576957514,7.6522783316521,167.904881622159,1.9942090189655e-17,2.04573114379255e-15,29.1317420887468
"YKL073W",7.2150980011481,7.11434016330742,164.049051618275,2.47188121956349e-17,2.04573114379255e-15,29.1315115419509
"YGR271W",7.60674637337029,7.4132596678707,167.772658416141,2.00878300548402e-17,2.04573114379255e-15,29.13050696438
"YGR218W",8.69777216541804,8.77930712881773,182.24514104967,9.3493705803639e-18,2.04573114379255e-15,29.1239240223871
"YPL195W",6.93330757170634,7.00957188773182,161.801008140151,2.80811512131525e-17,2.04573114379255e-15,29.1225325043715
"YFR024C-A",7.20507413837338,7.50813493692363,163.334409751674,2.57366657145957e-17,2.04573114379255e-15,29.1097997484052
"YOR362C",7.33073332944296,7.82922918285502,163.56775747271,2.53992937287846e-17,2.04573114379255e-15,29.0807182577817
"YER167W",7.287008895756,7.07684964438608,163.179069350493,2.59640076154799e-17,2.04573114379255e-15,29.0804360539592
"YMR237W",7.54044951813546,7.7525408670656,165.360338307409,2.29651515644915e-17,2.04573114379255e-15,29.074154075609
"YHR072W",6.88565051440996,6.78876291025559,159.585077610661,3.18983966172125e-17,2.04573114379255e-15,29.0504783705325
"YKL145W",7.20133928843269,7.72556394376788,161.426266227462,2.86894702836393e-17,2.04573114379255e-15,29.0439125866393
"YNL297C",7.48174017064485,7.43919783887798,163.757117028649,2.51291199385833e-17,2.04573114379255e-15,29.0395580126652
"YLR247C",7.34246535456662,7.38226818306803,162.016275907146,2.77381792233135e-17,2.04573114379255e-15,29.0233939630424
"YGR100W",6.2694114233883,6.35608403865212,156.887491680019,3.73422642175307e-17,2.04573114379255e-15,29.0091691907097
"YGL151W",6.48818644454394,6.61882580203726,156.560256726277,3.80698993873579e-17,2.04573114379255e-15,28.989631808181
"YPL145C",7.86225173736879,8.08724768903471,165.903515141366,2.2279492599252e-17,2.04573114379255e-15,28.9826053272001
"YBR015C",8.02014437524006,8.055151119165,167.661342256626,2.0211440999103e-17,2.04573114379255e-15,28.9817375762502
"YKL104C",8.39762877880842,8.70608807370669,171.833725213023,1.61036353446866e-17,2.04573114379255e-15,28.966100046861
"YPR122W",7.06061514348552,7.04464718848472,158.166709107783,3.4642110527178e-17,2.04573114379255e-15,28.9611128599498
"YKR001C",7.80388921699391,8.06231597152569,163.800278239836,2.50679851670599e-17,2.04573114379255e-15,28.9346608257766
"YJR126C",6.71964427036872,6.96497678258818,155.765425491161,3.99035856336633e-17,2.04573114379255e-15,28.9323728267122
"YHR107C",6.40496084731268,6.52202286965956,154.911416077029,4.19835973055312e-17,2.04573114379255e-15,28.9306158876409
"YJL225C",7.17602810162155,7.11866721254563,158.023353282424,3.4933662711257e-17,2.04573114379255e-15,28.9273519061602
"YER125W",7.90344736837095,8.16680916740565,164.280032118224,2.43994327130546e-17,2.04573114379255e-15,28.9159168999835
"YER019C-A",7.2272140775967,7.29272088997704,157.989402066636,3.50031090949763e-17,2.04573114379255e-15,28.9119315598156
"YGR184C",8.65243099358599,8.58488275345767,172.85749892739,1.52432805323193e-17,2.04573114379255e-15,28.8983242273554
"YIL041W",7.59159324591787,7.72265525882223,160.458257573389,3.03295283824423e-17,2.04573114379255e-15,28.8910249325269
"YDL205C",6.49680542701206,6.49024740106748,154.074002620163,4.41404646502631e-17,2.04573114379255e-15,28.89096322456
"YMR318C",8.51002189463149,8.7192353689741,170.622874517874,1.71913793948098e-17,2.04573114379255e-15,28.8897059214079
