"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLR429W",7.66540068897672,7.59119120549275,182.002880403065,9.46503518356172e-18,1.75631491453673e-15,29.5806519696015
"YNL239W",7.23680978718885,7.13233630850693,176.156526557472,1.27993366377213e-17,1.75631491453673e-15,29.5547999877894
"YHR103W",6.96141442655749,7.2104150073737,173.398825015839,1.48090429857161e-17,1.75631491453673e-15,29.5348939574246
"YOR330C",6.81265230235595,6.9358135281234,170.99051013172,1.68527494381581e-17,1.75631491453673e-15,29.481851379663
"YLR248W",8.19128756111515,8.04433587851203,185.920394825094,7.7737775847388e-18,1.75631491453673e-15,29.4779841169901
"YBR283C",8.1459501640466,8.2965658120363,183.840229810627,8.62581053678928e-18,1.75631491453673e-15,29.4437164586155
"YGL140C",7.46009070080252,7.564480370069,172.862005731981,1.52396075526586e-17,1.75631491453673e-15,29.3858809747761
"YJL039C",7.87503808580842,8.22278580854878,177.546352196373,1.19025558276472e-17,1.75631491453673e-15,29.3791638349212
"YER094C",7.89176453612661,7.47222443681543,177.473914874535,1.194753616259e-17,1.75631491453673e-15,29.3704404711074
"YIL005W",6.64714502580363,6.68843612794019,166.118882857674,2.20139374950174e-17,1.75631491453673e-15,29.3367536960118
"YEL022W",7.46408237245305,7.69192298555325,171.031893228518,1.68150965327932e-17,1.75631491453673e-15,29.3274250309663
"YMR266W",7.83093406464553,8.13063919577008,173.789231396721,1.45043785301818e-17,1.75631491453673e-15,29.2861866445928
"YJR042W",6.56031906939404,6.65302215174425,164.362934452691,2.42859200063403e-17,1.75631491453673e-15,29.2814187218616
"YOR127W",6.76402523169603,6.82084906160655,164.514178228609,2.40803364091776e-17,1.75631491453673e-15,29.2678860307021
"YDL160C",7.46338333823392,7.6522783316521,168.73268658902,1.90558646698717e-17,1.75631491453673e-15,29.2542820541205
"YGR271W",7.27787649306656,7.4132596678707,166.905479446786,2.10734223087652e-17,1.75631491453673e-15,29.2487888086885
"YGR218W",8.6532715473511,8.77930712881773,184.210276796398,8.46696259498723e-18,1.75631491453673e-15,29.2474944394515
"YKL173W",6.67492200520979,6.67754651129531,163.191895497014,2.59451524090997e-17,1.75631491453673e-15,29.2308166448026
"YGR217W",6.90624106308883,7.08349455542745,163.540310172167,2.54387213091947e-17,1.75631491453673e-15,29.2136497571545
"YPL195W",6.96627770863187,7.00957188773182,163.452864359959,2.55647886718361e-17,1.75631491453673e-15,29.200129960813
"YKL073W",6.99401210715887,7.11434016330742,162.862421245193,2.6434348253965e-17,1.75631491453673e-15,29.1736467574392
"YNL267W",6.75535155955149,6.9468705198661,161.609813975947,2.83897117187786e-17,1.75631491453673e-15,29.1645593501631
"YFR024C-A",7.93786379281602,7.50813493692363,170.981531006361,1.68609315322505e-17,1.75631491453673e-15,29.1637877990467
"YGR100W",6.43671470262568,6.35608403865212,160.933235183829,2.95121666661497e-17,1.75631491453673e-15,29.1595849686924
"YER167W",7.09830550403438,7.07684964438608,162.77028163466,2.65729776330636e-17,1.75631491453673e-15,29.1497320401741
"YNL297C",7.25882612637496,7.43919783887798,163.63352978247,2.53050881956584e-17,1.75631491453673e-15,29.1419750256091
"YMR237W",7.95193556994586,7.7525408670656,170.268851147601,1.75246107990751e-17,1.75631491453673e-15,29.1370066383604
"YDR099W",8.62700245669643,8.37353121923793,179.260189031305,1.08912184221368e-17,1.75631491453673e-15,29.1336775527225
"YBR015C",7.9101488136984,8.055151119165,169.074353084984,1.87028842964729e-17,1.75631491453673e-15,29.1148236834177
"YJR126C",6.98405308449687,6.96497678258818,160.842027377268,2.96672079741182e-17,1.75631491453673e-15,29.1025633505559
"YLR247C",7.84897380595994,7.38226818306803,167.730070481846,2.01350225771288e-17,1.75631491453673e-15,29.0936863074179
"YGR180C",8.52973432613867,8.90126225273905,176.17129037338,1.27894255102815e-17,1.75631491453673e-15,29.0902992288231
"YPL145C",7.92030452184167,8.08724768903471,168.35804055195,1.94514256279807e-17,1.75631491453673e-15,29.0892709454918
"YHR107C",6.55277314672577,6.52202286965956,158.299002624453,3.43754472292237e-17,1.75631491453673e-15,29.058587822924
"YGL151W",6.54726074750585,6.61882580203726,158.100212301958,3.47770128133588e-17,1.75631491453673e-15,29.0512608124505
"YJL054W",6.73534950663245,6.59022534801061,158.330358995763,3.43125763462216e-17,1.75631491453673e-15,29.0447693191613
"YNL247W",7.66696167360969,8.1149345026679,164.216717545828,2.44865211787256e-17,1.75631491453673e-15,29.0403810637737
"YLR115W",6.26905238327314,6.17614044307312,157.924303843186,3.51366942127841e-17,1.75631491453673e-15,29.0399501382593
"YKL145W",8.31333019391622,7.72556394376788,171.193446668169,1.66689949578882e-17,1.75631491453673e-15,29.031682638029
"YPR091C",6.93165168559504,6.87364657588281,158.621818049285,3.37342464124227e-17,1.75631491453673e-15,29.0298916901537
"YOR362C",8.47991436145989,7.82922918285502,173.136527055579,1.50177151692992e-17,1.75631491453673e-15,29.0246560402935
"YKR001C",7.98473349572164,8.06231597152569,166.996424755908,2.09675841303891e-17,1.75631491453673e-15,29.023961649483
"YGR184C",8.69015732609066,8.58488275345767,175.143497137845,1.3500164212785e-17,1.75631491453673e-15,29.000135566193
"YER125W",8.12893753788817,8.16680916740565,167.689594318616,2.01799888988899e-17,1.75631491453673e-15,28.99404219029
"YIL041W",7.78776837060075,7.72265525882223,163.799131863376,2.5069606795209e-17,1.75631491453673e-15,28.986970319008
"YER019C-A",7.11624551018953,7.29272088997704,158.351154889479,3.42709499580642e-17,1.75631491453673e-15,28.9851251575628
"YBL056W",7.60565186467027,7.5122853221191,161.85136971092,2.80004943686346e-17,1.75631491453673e-15,28.9787761698885
"YGL013C",7.69621515032395,7.26702004596002,162.636681994325,2.67754191441641e-17,1.75631491453673e-15,28.9770105725856
"YMR318C",8.6440402982194,8.7192353689741,173.382008486825,1.48223246120691e-17,1.75631491453673e-15,28.9691205829642
"YFL036W",7.37937541496455,7.40075814407833,159.653599863909,3.17720830172629e-17,1.75631491453673e-15,28.9679985923761
"YOR109W",7.46445372837547,7.46565795643513,160.177585887636,3.08242927750217e-17,1.75631491453673e-15,28.9629494323685
"YPR122W",6.8555941980803,7.04464718848472,156.539402987889,3.81167992060687e-17,1.75631491453673e-15,28.9619623180542
"YJL225C",6.97151344449864,7.11866721254563,156.920326150967,3.72701088913126e-17,1.75631491453673e-15,28.9583565726987
"YBR276C",6.40744231078492,6.6442798627255,155.601351423992,4.0294170641819e-17,1.75631491453673e-15,28.9562641686688
"YOL145C",7.25167559062679,7.19088804143142,157.964679882994,3.50537739746775e-17,1.75631491453673e-15,28.9394074538163
"YKL135C",6.75757389798041,6.63201918681525,155.61874516338,4.02525640485933e-17,1.75631491453673e-15,28.9377575153467
"YKL157W",8.67899061605056,8.50534672864298,172.696467031207,1.53751650941411e-17,1.75631491453673e-15,28.9376448194529
"YKL104C",8.97543975737764,8.70608807370669,176.927172724713,1.22931788197496e-17,1.75631491453673e-15,28.9351770087451
"YBR084W",8.20111982822032,8.79666268154904,166.432963565802,2.16329315304341e-17,1.75631491453673e-15,28.9288140638356
"YKL176C",7.1356635133565,7.26642847483926,156.93337272391,3.72414813229323e-17,1.75631491453673e-15,28.9276005343995
"YER005W",6.39446770301375,6.53686454798206,154.818748741771,4.2216428827652e-17,1.75631491453673e-15,28.9253747042171
"YMR129W",7.91113642182226,8.06897833120548,163.043472909765,2.61642740292567e-17,1.75631491453673e-15,28.9204980405641
"YBR082C",7.99987646823782,7.48613007871335,163.810431106188,2.50536283133742e-17,1.75631491453673e-15,28.9156227955858
