gene	tpm
YAL001C	18.034
YAL002W	26.7662
YAL003W	1322.574
YAL004W	10.2811
YAL005C	5371.09
YAL007C	125.9962
YAL008W	59.7469
YAL009W	33.08297
YAL010C	16.01031
YAL011W	14.51312
YAL012W	353.685
YAL013W	14.41816
YAL014C	59.1095
YAL015C	30.34289
YAL016C-A	19.8606
YAL016C-B	4.50364
YAL016W	86.58027369
YAL017W	23.7479
YAL018C	0.790501
YAL019W	37.4466
YAL019W-A	3.95379
YAL020C	29.64063652
YAL021C	41.2963
YAL022C	44.6539
YAL023C	150.21300001909
YAL024C	10.8215
YAL025C	64.8871
YAL026C	44.2958
YAL026C-A	39.018
YAL027W	19.265968
YAL028W	5.45157
YAL029C	50.5741
YAL030W	141.3009
YAL031C	15.34522
YAL031W-A	7.16292
YAL032C	30.3567
YAL033W	42.98834
YAL034C	14.239175
YAL034C-B	0.463138
YAL034W-A	8.75015
YAL035W	107.1223
YAL036C	69.24028
YAL037C-A	0
YAL037C-B	0
YAL037W	7.8527
YAL038W	4137.532
YAL039C	77.1788
YAL040C	25.43639
YAL041W	34.1726954838
YAL042C-A	23.2526
YAL042W	172.9541
YAL043C	39.9884
YAL044C	447.832
YAL044W-A	89.1027
YAL045C	9.87623
YAL046C	42.57048
YAL047C	11.805629
YAL047W-A	4.0428
YAL048C	12.2086
YAL049C	89.4428
YAL051W	17.2898
YAL053W	124.9284
YAL054C	13.6909
YAL055W	17.39032
YAL056C-A	0
YAL056W	29.3108
YAL058W	28.427
YAL059C-A	0
YAL059W	76.5285
YAL060W	117.14472
YAL061W	14.871539163
YAL062W	16.23018
YAL063C	9.75053
YAL063C-A	8.23224
YAL064C-A	9.69161
YAL064W	9.25138
YAL064W-B	6.05461
YAL065C	8.05136
YAL066W	2.06967
YAL067C	4.7335
YAL067W-A	0
YAL068C	0
YAL068W-A	0.307887
YAL069W	0
YAR002C-A	226.0995
YAR002W	43.0081
YAR003W	21.50417
YAR007C	49.21668
YAR008W	14.99899
YAR009C	44.8358
YAR010C	157.581
YAR014C	45.10975
YAR015W	139.1997
YAR018C	15.67115
YAR019C	12.3405
YAR019W-A	3.89425
YAR020C	6.8825
YAR023C	10.4816
YAR027W	52.6604
YAR028W	11.74708
YAR029W	14.20192
YAR030C	6.94991
YAR031W	19.6294
YAR033W	15.9533000224902
YAR035C-A	2.16842
YAR035W	3.85347
YAR042W	43.699
YAR047C	12.8785
YAR050W	4.31198
YAR053W	5.37747
YAR060C	11.6421
YAR064W	9.4647
YAR066W	6.04362
YAR068W	7.46046
YAR069C	4.00163
YAR070C	1.16191
YAR071W	6.01035
YAR073W	0.304086
YAR075W	0
YBL001C	278.6529
YBL002W	246.1447
YBL003C	82.182
YBL004W	72.9069
YBL005W	21.7982
YBL005W-A	40.092
YBL005W-B	132.626
YBL006C	75.3305
YBL006W-A	0
YBL007C	114.4983
YBL008W	20.79011
YBL008W-A	1.41171
YBL009W	11.64995
YBL010C	14.48702
YBL011W	67.1384
YBL012C	25.9098
YBL013W	8.06863
YBL014C	32.5224
YBL015W	26.8957
YBL016W	38.6244
