gene	tpm
YAL001C	13.8114
YAL002W	16.3424
YAL003W	1841.6
YAL004W	3.8582
YAL005C	825.803
YAL007C	164.7836
YAL008W	20.31822
YAL009W	23.223
YAL010C	9.7974
YAL011W	7.57718
YAL012W	313.314
YAL013W	6.659822
YAL014C	37.5975
YAL015C	17.04528
YAL016C-A	4.15492
YAL016C-B	4.06331
YAL016W	63.0710191317
YAL017W	14.2547
YAL018C	0.0337044
YAL019W	32.5016
YAL019W-A	1.87006
YAL020C	16.14174
YAL021C	38.3001
YAL022C	43.37785
YAL023C	199.19174799
YAL024C	10.7367
YAL025C	36.5754
YAL026C	45.3134
YAL026C-A	26.5212
YAL027W	11.1486
YAL028W	2.22614
YAL029C	36.3272
YAL030W	78.4651
YAL031C	10.191092374
YAL031W-A	11.2514
YAL032C	16.9995
YAL033W	59.6394
YAL034C	7.18703
YAL034C-B	0
YAL034W-A	6.9198
YAL035W	104.8095
YAL036C	61.495
YAL037C-A	0
YAL037C-B	0
YAL037W	4.4184
YAL038W	4490.83
YAL039C	21.2682
YAL040C	11.98723
YAL041W	25.904037996
YAL042C-A	19.5079
YAL042W	183.3319
YAL043C	26.6182
YAL044C	190.7331
YAL044W-A	71.6085
YAL045C	3.77046
YAL046C	38.81505
YAL047C	7.8548253
YAL047W-A	3.16636
YAL048C	5.75063
YAL049C	61.4959
YAL051W	9.96171
YAL053W	34.86631
YAL054C	5.87233
YAL055W	10.81575
YAL056C-A	0
YAL056W	22.22967
YAL058W	25.22788
YAL059C-A	0
YAL059W	100.1596
YAL060W	34.5508
YAL061W	6.112454
YAL062W	6.29863474
YAL063C	4.50514
YAL063C-A	3.02781
YAL064C-A	4.31399
YAL064W	3.72199
YAL064W-B	3.36429
YAL065C	4.63124
YAL066W	0
YAL067C	0.96531
YAL067W-A	0.356288
YAL068C	0
YAL068W-A	0
YAL069W	0
YAR002C-A	280.0589
YAR002W	34.68928
YAR003W	21.77142
YAR007C	35.34217
YAR008W	16.57807
YAR009C	29.0785
YAR010C	64.3091
YAR014C	36.82878
YAR015W	105.191
YAR018C	15.92034
YAR019C	6.26891
YAR019W-A	2.10007
YAR020C	5.40872
YAR023C	5.04881
YAR027W	25.567
YAR028W	16.69736
YAR029W	9.187902
YAR030C	1.19928
YAR031W	15.6931
YAR033W	14.1019
YAR035C-A	2.50052
YAR035W	1.8168
YAR042W	22.906
YAR047C	6.92334
YAR050W	2.08684
YAR053W	1.81065
YAR060C	6.43136
YAR064W	3.4269
YAR066W	2.43683
YAR068W	5.36696
YAR069C	0.924299
YAR070C	0
YAR071W	4.33648
YAR073W	0.0817078
YAR075W	0.0897706
YBL001C	186.5788
YBL002W	669.525
YBL003C	270.6745
YBL004W	94.6999
YBL005W	18.7858
YBL005W-A	25.4659
YBL005W-B	105.087
YBL006C	61.62801
YBL006W-A	0
YBL007C	87.2924
YBL008W	15.83746
YBL008W-A	0.633789
YBL009W	16.87533
YBL010C	13.8256
YBL011W	49.43669
YBL012C	20.0637
YBL013W	4.57479
YBL014C	23.32670840262
YBL015W	19.07018
YBL016W	39.4941
YBL017C	66.9875
YBL018C	31.93541
YBL019W	6.32399
YBL020W	43.2042
YBL021C	19.60183
YBL022C	64.98417
YBL023C	24.7325
YBL024W	104.9925
YBL025W	9.743225
YBL026W	124.7462
YBL027W	2949.626
YBL028C	142.7936
YBL029C-A	19.48573
YBL029W	5.38848
YBL030C	76.9488
YBL031W	11.48102
YBL032W	96.1701
YBL033C	35.277
YBL034C	14.5841
YBL035C	14.13716
YBL036C	86.1114
YBL037W	11.5408
YBL038W	49.1403
YBL039C	276.718
YBL039C-A	34.708
YBL039W-B	10.1575
YBL040C	108.5087
YBL041W	127.5081
YBL042C	55.635781702
YBL043W	4.32132
YBL044W	3.21416
YBL045C	52.8548
YBL046W	9.1776
YBL047C	62.05716
YBL048W	10.9774
YBL049W	14.5747
YBL050W	54.5436
YBL051C	29.796
YBL052C	16.9693
YBL053W	6.02206
YBL054W	26.88296
YBL055C	39.8099
YBL056W	95.8417
YBL057C	80.0802
YBL058W	93.2997
YBL059C-A	53.87553
YBL059W	9.16432
YBL060W	6.06196000020447
YBL061C	24.26859
YBL062W	10.709
YBL063W	6.90652
YBL064C	38.1833
YBL065W	2.79936
YBL066C	8.27839
YBL067C	46.629
YBL068W	57.9597
YBL068W-A	11.059
YBL069W	18.6457
YBL070C	9.89344
YBL071C	25.5907
YBL071C-B	4.86849
YBL071W-A	92.5367
YBL072C	1361.19
YBL073W	5.82561
YBL074C	8.62124
YBL075C	10.46218
YBL076C	470.9155
YBL077W	42.0028
YBL078C	9.52229
YBL079W	48.5587
YBL080C	7.74089000075103
YBL081W	3.71694
YBL082C	28.322100193229
YBL083C	7.96334
YBL084C	10.7732
YBL085W	18.068100456061
YBL086C	9.70607
YBL087C	1792.9595
YBL088C	8.94962
YBL089W	18.48552
YBL090W	35.9142
YBL091C	86.2828
YBL091C-A	27.2715
YBL092W	2018.726
YBL093C	48.9003
YBL094C	0
YBL095W	17.96869
YBL096C	9.01541
YBL097W	5.37175
YBL098W	15.8314
YBL099W	120.1602
YBL100C	0
YBL100W-A	0
YBL100W-B	5.02327
YBL100W-C	121.073
YBL101C	9.31408
YBL102W	74.157
YBL103C	9.8026
YBL104C	16.6744
YBL105C	27.1003000236568
YBL106C	14.1561
YBL107C	20.02555
YBL107W-A	49.6513
YBL108C-A	0
YBL108W	0
YBL109W	0
YBL111C	3.69008
YBL112C	4.15314
YBL113C	8.12504
YBL113W-A	0
YBR001C	9.94372
YBR002C	45.7187
YBR003W	26.1909
YBR004C	20.86299
YBR005W	8.8674
YBR006W	11.12836
YBR007C	6.42361
YBR008C	16.59416
YBR009C	523.145
YBR010W	567.577
YBR011C	644.368
YBR012C	20.4242
YBR012W-A	8.18202
YBR012W-B	9.15575
YBR013C	23.1183
YBR014C	40.5583
YBR015C	108.192
YBR016W	31.0705
YBR017C	68.5922
YBR018C	1.25863
YBR019C	3.49447
YBR020W	0.750155
YBR021W	10.956398
YBR022W	24.5377
YBR023C	55.0462
YBR024W	6.65217
YBR025C	567.713
YBR026C	48.932274
YBR027C	0
YBR028C	30.85622
YBR029C	62.1661
YBR030W	21.55671
YBR031W	1159.723
YBR032W	17.9986
YBR033W	5.63432
YBR034C	206.4237
YBR035C	92.9799
YBR036C	77.6401
YBR037C	36.6551
YBR038W	18.6129
YBR039W	102.3637
YBR040W	3.63161
YBR041W	42.59445
YBR042C	39.5076
YBR043C	14.6504
YBR044C	12.7585
YBR045C	2.10638
YBR046C	17.13936
YBR047W	6.95349
YBR048W	1764.256
YBR049C	34.23614
YBR050C	2.572777
YBR051W	0
YBR052C	77.0665
YBR053C	35.0886
YBR054W	26.99004
YBR055C	17.60518
YBR056C-B	0
YBR056W	26.2795
YBR056W-A	8.90243
YBR057C	27.3214
YBR058C	34.5285000001729
YBR058C-A	73.7662
YBR059C	27.2512
YBR060C	17.8962000469053
YBR061C	43.9958
YBR062C	36.4512
YBR063C	13.71392
YBR064W	0
YBR065C	8.74074
YBR066C	15.30889
YBR067C	160.756
YBR068C	138.987
YBR069C	143.831
YBR070C	29.8157
YBR071W	37.443
YBR072C-A	3.427
YBR072W	26.34032
YBR073W	36.927
YBR074W	54.9817
YBR076C-A	7.28576
YBR076W	0
YBR077C	33.1127
YBR078W	678.4421
YBR079C	123.453000206702
YBR080C	48.9914
YBR081C	14.5082
YBR082C	229.9429
YBR083W	20.94306
YBR084C-A	2232.375
YBR084W	137.7574
YBR085C-A	82.9903
YBR085W	17.51128
YBR086C	100.1329481
YBR087W	39.5754
YBR088C	109.7119
YBR089C-A	44.9375000327825
YBR089W	15.4322
YBR090C	11.6515
YBR091C	41.4098
YBR092C	171.1687
YBR093C	4.91653
YBR094W	21.58301
YBR095C	19.04930966995
YBR096W	101.4249
YBR097W	13.0155
YBR098W	5.2854
YBR099C	0
YBR101C	54.775
YBR102C	14.0159
YBR103C-A	2.53771
YBR103W	12.9924087
YBR104W	33.4129
YBR105C	38.0232
YBR106W	391.519
YBR107C	13.58855
YBR108W	5.620801
YBR109C	264.599
YBR109W-A	0
YBR110W	43.0161
YBR111C	110.765
YBR111W-A	29.88787
YBR112C	16.43804
YBR113W	20.7929
YBR114W	14.75623
YBR115C	49.4625
YBR116C	3.97402
YBR117C	4.32958
YBR118W	10398.06
YBR119W	7.90435
YBR120C	13.10962
YBR121C	248.62
YBR121C-A	156.439
YBR122C	73.5388
YBR123C	11.58107
YBR124W	1.41817
YBR125C	20.596600000314
YBR126C	55.6045
YBR126W-A	382.261
YBR126W-B	143.9926
YBR127C	555.395
YBR128C	2.739942
YBR129C	26.9013
YBR130C	33.8182
YBR131C-A	0
YBR131W	10.89637
YBR132C	9.31334
YBR133C	31.10982
YBR134W	0
YBR135W	85.7955
YBR136W	13.3464
YBR137W	44.5612
YBR138C	5.28315
YBR139W	35.5717
YBR140C	29.1447
YBR141C	16.8084
YBR141W-A	3.42623
YBR142W	57.6378000022341
YBR143C	259.6116
YBR144C	1.25703
YBR145W	10.8549
YBR146W	60.9362
YBR147W	0.943729
YBR148W	1.13483
YBR149W	101.2833
YBR150C	7.43053
YBR151W	151.4829
YBR152W	6.22057
YBR153W	16.64236
YBR154C	136.44703
YBR155W	29.9887
YBR156C	7.60479145808
YBR157C	30.369
YBR158W	184.0666
YBR159W	120.5372
YBR160W	38.5625
YBR161W	13.55627
YBR162C	316.344
YBR162W-A	74.6473
YBR163W	14.56038
YBR164C	65.8628
YBR165W	23.68093
YBR166C	32.1994023274
YBR167C	17.63648
YBR168W	14.2647
YBR169C	16.72602
YBR170C	29.27633
YBR171W	93.5863
YBR172C	31.5582
YBR173C	104.2005
YBR174C	3.51439
YBR175W	30.23657
YBR176W	18.69387
YBR177C	36.5668
YBR178W	0.670819
YBR179C	15.9597
YBR180W	2.00894
YBR181C	1847.077
YBR182C	5.29918
YBR182C-A	10.3234
YBR183W	6.86816
YBR184W	2.74453
YBR185C	27.8577
YBR186W	1.82769
YBR187W	82.35419
YBR188C	31.4443
YBR189W	3092.351
YBR190W	0.548871
YBR191W	2791.872
YBR191W-A	115.298
YBR192W	23.30311
YBR193C	20.01266
YBR194W	20.98781
YBR195C	23.37296
YBR196C	1345.186
YBR196C-A	4.04863
YBR196C-B	141.266
YBR197C	24.7329
YBR198C	17.3785
YBR199W	86.11099
YBR200W	27.67973
YBR200W-A	2.443
YBR201C-A	6.06149
YBR201W	13.91736
YBR202W	36.834400251877
YBR203W	5.0035
YBR204C	14.82188
YBR205W	54.8385
YBR206W	59.3646
YBR207W	42.93954
YBR208C	19.1343
YBR209W	5.46432
YBR210W	49.12877
YBR211C	18.437
YBR212W	12.6129
YBR213W	2.69945
YBR214W	5.461916
YBR215W	5.31085
YBR216C	17.13555
YBR217W	12.5837
YBR218C	89.9361286
YBR219C	0.193587
YBR220C	16.0117
YBR221C	220.8454
YBR221W-A	0
YBR222C	41.3697
YBR223C	7.02455648
YBR223W-A	0
YBR224W	0.337795
YBR225W	8.33281
YBR226C	10.3069
YBR227C	17.7095
YBR228W	10.77916
YBR229C	48.99519
YBR230C	28.82688
YBR230W-A	3.34695
YBR231C	6.787
YBR232C	2.85658
YBR233W	9.45977
YBR233W-A	47.948
YBR234C	87.4285
YBR235W	17.6626000007691
YBR236C	33.0255
YBR237W	6.75796147
YBR238C	25.73598
YBR239C	10.7405
YBR240C	2.467
YBR241C	10.4127
YBR242W	19.608
YBR243C	26.86009
YBR244W	146.1704
YBR245C	31.2718
YBR246W	38.7756
YBR247C	67.525
YBR248C	55.0465
YBR249C	250.2403
YBR250W	0.836986
YBR251W	25.9259
YBR252W	91.9019
YBR253W	37.5358
YBR254C	38.6221
YBR255C-A	10.98606
YBR255W	7.65524
YBR256C	72.56889
YBR257W	16.89195
YBR258C	8.66479
YBR259W	10.9939000382614
YBR260C	19.26898
YBR261C	67.199717427
YBR262C	48.1835
YBR263W	150.5738
YBR264C	20.759587
YBR265W	74.4211
YBR266C	0
YBR267W	53.4156
YBR268W	73.1514
YBR269C	33.8264
YBR270C	5.93085
YBR271W	31.7455
YBR272C	17.076
YBR273C	23.13726
YBR274W	19.28074
YBR275C	12.4413
YBR276C	27.646
YBR277C	0.49642
YBR278W	9.19879
YBR279W	32.5749
YBR280C	6.15903
YBR281C	19.90987
YBR282W	34.18032
YBR283C	177.9833
YBR284W	1.95305
YBR285W	2.031277
YBR286W	560.183
YBR287W	48.2238
YBR288C	29.7723
YBR289W	7.37149
YBR290W	22.18204
YBR291C	15.02637
YBR292C	4.88395
YBR293W	16.064
YBR294W	6.11057
YBR295W	10.2244
YBR296C	0.807506
YBR296C-A	7.89604
YBR297W	7.56016
YBR298C	3.37498
YBR298C-A	0.379299
YBR299W	3.17705
YBR300C	3.11021
YBR301W	6.39789
YBR302C	39.2986
YCL001W	98.1357
YCL001W-A	2.40084
YCL001W-B	9.14478
YCL002C	29.6216
YCL004W	5.98365
YCL005W	25.64938
YCL005W-A	352.3968
YCL007C	0
YCL008C	7.74426
YCL009C	149.1989
YCL010C	4.18393
YCL011C	75.7444
YCL012C	31.33653
YCL014W	22.3492
YCL016C	11.87712
YCL017C	84.1222
YCL018W	0
YCL019W	12.8875
YCL020W	3.42115e-08
YCL021W-A	62.6594
YCL022C	3.10146
YCL023C	2.67962
YCL024W	11.2822
YCL025C	15.29166
YCL026C-A	2.894491
YCL026C-B	7.28279
YCL027W	12.4579
YCL028W	92.5871
YCL029C	16.01369
YCL030C	70.1331
YCL031C	77.1839948
YCL032W	10.25905
YCL033C	49.25929
YCL034W	38.5098
YCL035C	99.4823
YCL036W	39.2772
YCL037C	47.623
YCL038C	9.26373
YCL039W	4.7493
YCL040W	33.016
YCL041C	0.25362
YCL042W	1.71027
YCL043C	535.51
YCL044C	2.9911
YCL045C	92.20575
YCL046W	1.96109e-09
YCL047C	26.159
YCL048W	0.245549
YCL048W-A	0.950684
YCL049C	24.4294
YCL050C	160.5815
YCL051W	14.06328
YCL052C	32.08454
YCL054W	37.99385
YCL054W-A	215.881
YCL055W	37.0215
YCL056C	16.2755
YCL057C-A	78.4627
YCL057W	64.5936
YCL058C	0
YCL058W-A	4.04165
YCL059C	73.8414
YCL061C	7.17237
YCL063W	24.37361
YCL064C	101.5028
YCL065W	0
YCL066W	0.0377907
YCL067C	8.72048
YCL068C	0
YCL069W	0
YCL073C	0.0567203
YCL076W	0
YCR001W	6.64431
YCR002C	53.9863
YCR003W	38.4259
YCR004C	128.8875
YCR005C	49.0683
YCR006C	12.6933
YCR007C	5.17978
YCR008W	51.0984
YCR009C	109.5599
YCR010C	1.19686
YCR011C	39.4816779006
YCR012W	3369.88
YCR013C	0
YCR014C	8.62687
YCR015C	17.3238
YCR016W	33.6392
YCR017C	83.3907
YCR018C	65.4113
YCR018C-A	70.837
YCR019W	12.53128
YCR020C	3.55848
YCR020C-A	61.0496
YCR020W-B	29.0259
YCR021C	8.14796
YCR022C	3.44468
YCR023C	25.4826
YCR024C	9.85899
YCR024C-A	604.255
YCR024C-B	167.15
YCR025C	2.96889
YCR026C	27.97403
YCR027C	21.23451
YCR028C	21.46748
YCR028C-A	268.5152
YCR030C	12.04514
YCR031C	2690.053
YCR032W	11.8872
YCR033W	24.245
YCR034W	116.7967
YCR035C	51.7387
YCR036W	63.7713
YCR037C	18.0312
YCR038C	3.49271
YCR038W-A	0
YCR039C	8.72048
YCR040W	0.0377907
YCR041W	18.2492
YCR042C	8.69298
YCR043C	89.8278
YCR044C	52.5655
YCR045C	0
YCR045W-A	12.01595
YCR046C	61.4012
YCR047C	8.625
YCR047W-A	0
YCR048W	44.526174
YCR049C	16.6896
YCR050C	0
YCR051W	52.2346
YCR052W	24.74998
YCR053W	217.7094
YCR054C	19.65574
YCR057C	90.55270187376
YCR059C	52.81073
YCR060W	109.571
YCR061W	13.73114
YCR063W	6.56425
YCR064C	3.70218
YCR065W	17.82726
YCR066W	6.70484
YCR067C	36.5015
YCR068W	8.6904
YCR069W	45.6761
YCR071C	49.0846
YCR072C	55.3884
YCR073C	10.2251
YCR073W-A	37.16732
YCR075C	17.930800104177
YCR075W-A	32.77841
YCR076C	18.7453
YCR077C	64.1192
YCR079W	16.44878
YCR081C-A	0
YCR081W	11.0376
YCR082W	154.4888
YCR083W	49.72384
YCR084C	70.5649
YCR085W	3.89548
YCR086W	18.82676
YCR087C-A	27.85202
YCR087W	59.5018
YCR088W	103.48
YCR089W	4.75285
YCR090C	53.8032
YCR091W	1.61632
YCR092C	11.1419
YCR093W	50.6517
YCR094W	39.5071
YCR095C	16.78496
YCR095W-A	3.01164
YCR096C	15.1738
YCR097W	30.74506
YCR097W-A	0
YCR098C	2.124865
YCR099C	8.87066
YCR100C	7.73975
YCR101C	9.14583
YCR102C	9.39406
YCR102W-A	6.95317
YCR104W	0.911175
YCR105W	3.95644
YCR106W	14.9446
YCR107W	22.5831
YCR108C	0
YDL001W	13.4685
YDL002C	24.1755
YDL003W	30.4167000080715
YDL004W	78.1431
YDL005C	10.89862
YDL006W	25.4363
YDL007C-A	0.270327
YDL007W	69.921
YDL008W	48.6989
YDL009C	6.42663
YDL010W	14.67205
YDL011C	5.49132
YDL012C	64.5117
YDL013W	10.424300106126
YDL014W	208.137
YDL015C	197.037000216105
YDL016C	0.724469
YDL017W	10.17449
YDL018C	37.3112
YDL019C	23.7736
YDL020C	29.62573
YDL021W	4.05189
YDL022C-A	1.45957
YDL022W	40.1741
YDL023C	13.2369
YDL024C	1.49211
YDL025C	10.28897
YDL025W-A	0
YDL026W	1.67574
YDL027C	12.50314
YDL028C	11.2503
YDL029W	126.8119
YDL030W	10.7974
YDL031W	48.2174
YDL032W	4.52375
YDL033C	17.31338
YDL034W	20.6927
YDL035C	24.0985
YDL036C	20.52006
YDL037C	36.9351
YDL039C	40.5903
YDL040C	77.09462338
YDL041W	0.651464
YDL042C	21.163666215
YDL043C	18.28514
YDL044C	9.41427
YDL045C	23.2895000752871
YDL045W-A	55.0331
YDL046W	104.36899
YDL047W	40.7693
YDL048C	4.64972
YDL049C	9.09431
YDL050C	63.7384
YDL051W	255.539
YDL052C	62.0368
YDL053C	42.72455
YDL054C	18.727651
YDL055C	1446.212
YDL056W	11.856
YDL057W	7.86704
YDL058W	25.7902
YDL059C	7.74863
YDL060W	57.9176
YDL061C	178.519
YDL062W	26.9157
YDL063C	71.1566
YDL064W	123.6859
YDL065C	11.2452
YDL066W	185.9583
YDL067C	88.2146
YDL068W	5.05819
YDL069C	6.60883
YDL070W	25.523
YDL071C	0.43123
YDL072C	90.6887
YDL073W	17.4467
YDL074C	42.79918
YDL075W	2905.3383
YDL076C	24.0946
YDL077C	15.2335
YDL078C	98.3475
YDL079C	8.51661
YDL080C	16.80861
YDL081C	2350.128
YDL082W	1194.491
YDL083C	2321.5885
YDL084W	441.841
YDL085C-A	44.06727
YDL085W	0
YDL086C-A	17.3926523
YDL086W	52.6865
YDL087C	11.43291
YDL088C	21.18749
YDL089W	11.18906
YDL090C	15.69405
YDL091C	11.06544
YDL092W	117.644
YDL093W	25.754
YDL094C	0.996843
YDL095W	191.9986
YDL096C	72.7593
YDL097C	75.7356
YDL098C	10.4719
YDL099W	13.17479
YDL100C	250.39
YDL101C	12.76885
YDL102W	22.2775
YDL103C	42.0441
YDL104C	4.686854
YDL105W	9.07884
YDL106C	13.64757
YDL107W	7.53386
YDL108W	22.07963
YDL109C	5.83436
YDL110C	9.52225
YDL111C	106.442
YDL112W	37.0792
YDL113C	10.09336
YDL114W	0.21578
YDL114W-A	0.869467
YDL115C	12.30994
YDL116W	36.070900201739
YDL117W	25.26958
YDL118W	0.762362
YDL119C	10.8888
YDL120W	49.23345
YDL121C	128.9441
YDL122W	44.1937
YDL123W	11.8263
YDL124W	135.076
YDL125C	222.7734
YDL126C	310.023
YDL127W	35.8195
YDL128W	74.5066
YDL129W	14.91757
YDL130W	1823.821
YDL130W-A	16.34589
YDL131W	109.2007
YDL132W	47.335
YDL133C-A	619.251
YDL133W	21.217
YDL134C	73.7122
YDL135C	60.3538
YDL136W	1465.4376
YDL137W	147.637
YDL138W	10.2081
YDL139C	9.24911
YDL140C	97.8929
YDL141W	29.6347
YDL142C	15.09784
YDL143W	127.5544
YDL144C	40.2202
YDL145C	175.9532
YDL146W	5.82866
YDL147W	105.711
YDL148C	39.2582
YDL149W	6.14503
YDL150W	35.28397
YDL151C	1.63906
YDL152W	0.19813
YDL153C	17.20351
YDL154W	4.42831
YDL155W	26.5109
YDL156W	5.49487
YDL157C	112.4024
YDL158C	0
YDL159C-B	0
YDL159W	13.75386
YDL159W-A	12.124
YDL160C	109.127
YDL160C-A	20.96931
YDL161W	13.42347
YDL162C	0.142102
YDL163W	0
YDL164C	28.66922
YDL165W	56.0671
YDL166C	40.4098
YDL167C	47.14538
YDL168W	56.6059
YDL169C	1.460386
YDL170W	12.05427085
YDL171C	110.022
YDL172C	11.8999
YDL173W	59.6397
