"","logFC","logCPM","F","PValue","FDR"
"YER103W",6.43592485469975,10.5597792679411,3058.43269715018,1.71913931231916e-13,8.60944967609438e-10
"YFL014W",9.11891012184995,10.5994617099377,1782.74805712036,2.35548033530112e-12,5.89812275959401e-09
"YBR072W",7.43397859778108,11.0524426360106,1356.19770491968,8.84605686315632e-12,1.4767017590229e-08
"YLR216C",2.65738162861557,10.2929081036885,1001.68078065112,3.82315622873252e-11,4.78659159837312e-08
"YBL075C",3.60794564054355,8.02712350918886,782.2843934006,1.25840100766748e-10,1.26041444927975e-07
"YGL009C",-2.90827848993842,9.28675376651305,724.086476723701,1.82530119171345e-10,1.52351806135016e-07
"YDL229W",-2.17704682985681,11.9191275716406,623.537939784896,3.74320347681565e-10,2.34554117429127e-07
"YER062C",2.2008012885832,7.99598108663483,613.427013095918,4.04868276335615e-10,2.34554117429127e-07
"YBR009C",-2.04778292040878,8.28498695292754,608.294298068081,4.21522974613048e-10,2.34554117429127e-07
"YMR169C",3.40802631511064,6.04455454183076,565.374390213724,5.98769482170397e-10,2.86588837318336e-07
"YHR104W",2.45746444738327,8.41034215067338,559.483661835986,6.29488260882927e-10,2.86588837318336e-07
"YGL121C",2.83826959909757,5.3233779474484,523.163806394577,8.6833507438566e-10,3.36751545461334e-07
"YBL002W",-1.78610633897653,8.77146749889652,512.831074246353,9.55080328584257e-10,3.36751545461334e-07
"YJR016C",-2.37592333326446,10.0139846714089,510.254595309993,9.78375051229239e-10,3.36751545461334e-07
"YDR533C",2.3483164274869,7.04275889213254,507.015720322641,1.00864081108626e-09,3.36751545461334e-07
"YNL209W",-2.11244627233219,11.6392071801509,490.18166156175,1.18539976968299e-09,3.60457936638744e-07
"YBR169C",2.59377562528483,7.97927280702287,486.940429352633,1.22359922581043e-09,3.60457936638744e-07
"YMR196W",2.11364087831741,7.67484629966338,471.183553183233,1.43188821009463e-09,3.98383119786329e-07
"YGR043C",3.63095581147076,5.18413524829367,454.403045915815,1.70336954251268e-09,4.48972350994921e-07
"YDR214W",2.10941469091127,9.3819552231588,447.286704879382,1.83588751336831e-09,4.59706233347425e-07
"YDL130W-A",2.48342486593152,5.29624509337866,437.596151340865,2.03846370620918e-09,4.86125059080742e-07
"YKL103C",2.02309931148866,7.94237363040738,424.101096213715,2.3665604307628e-09,5.38715210784551e-07
"YDR321W",-1.51317913964425,8.01762787142479,419.16129309417,2.50249658113845e-09,5.44891429493101e-07
"YKL081W",-1.84161677065449,10.7837613673784,413.774012999833,2.6616311093085e-09,5.55393691475707e-07
"YBL064C",1.5178818387743,6.91196372436139,396.992758487928,3.24184752455467e-09,6.49406896118791e-07
"YGR234W",-2.58898940641856,8.72075811911147,391.579945240466,3.46077609195383e-09,6.66598718019414e-07
"YGR019W",1.49192786467651,7.4868071391471,376.433704036197,4.17520869533021e-09,7.74423894304211e-07
"YLR178C",3.04206194922129,6.9708985201397,355.245691325055,5.49846351813089e-09,9.83439474957126e-07
"YCL026C-B",2.07681375337864,4.48583168481016,337.786673237983,6.98529152482261e-09,1.2062875847004e-06
"YBR010W",-1.97138542924977,8.27555965631428,329.31211407204,7.87820353279044e-09,1.31513477640715e-06
"YLL026W",3.51878899793509,11.1354560561637,326.908329955577,8.15654228694543e-09,1.31581166807829e-06
"YGL184C",2.83221061458607,5.06622545819564,324.838499203449,8.4077422880402e-09,1.31581166807829e-06
"YCL035C",1.37817300247951,7.078418510134,321.362529321892,8.84527508115767e-09,1.32517980314711e-06
"YBR053C",1.28148182967617,6.96366347079455,317.374676842821,9.38412298490356e-09,1.32517980314711e-06
"YMR106W-A",3.0864808557294,5.30061443903026,315.981013696246,9.58398120223661e-09,1.32517980314711e-06
"YER110C",-1.77747825423903,10.3240175261248,313.550481473031,9.93843867056352e-09,1.32517980314711e-06
"YIL111W",1.20538146470974,6.34240448829056,311.709659372396,1.021933691259e-08,1.32517980314711e-06
"YDL021W",2.47086780073053,5.26380302881458,308.198952310775,1.07836703683499e-08,1.32517980314711e-06
"YNL281W",1.63932978232616,8.8025330338157,307.804653656945,1.08474865409786e-08,1.32517980314711e-06
"YDR382W",-1.92346851596086,9.86898401600626,306.483899506509,1.10704138809572e-08,1.32517980314711e-06
"YHR019C",-1.39451965425001,9.96677285902295,306.248520565351,1.11107207517433e-08,1.32517980314711e-06
"YBR088C",-1.6206655327112,6.53876380320557,305.411259676745,1.12555580502147e-08,1.32517980314711e-06
"YLR420W",-1.46255178899027,7.33665663190973,304.71141056801,1.13783409615267e-08,1.32517980314711e-06
"YFL044C",1.92961861684067,5.28462992752252,301.886516521548,1.18909155157968e-08,1.3534023841616e-06
"YMR006C",-1.786968498812,7.19552539262383,298.699386930009,1.25025959555288e-08,1.38158247717539e-06
"YJR123W",-2.08910122000447,11.3101926126078,297.759358263489,1.26902543830008e-08,1.38158247717539e-06
"YJL116C",2.53684815523012,6.86085856319313,281.980710102593,1.64114722960269e-08,1.74318809097362e-06
"YBR121C-A",-1.3218642841234,8.78287586162594,280.912850298868,1.67078730764245e-08,1.74318809097362e-06
"YLR249W",-1.57969112092244,13.5205030563296,275.479562572918,1.83202614533861e-08,1.87240549711342e-06
"YKR076W",1.68169910446799,5.72675572964753,267.096622651398,2.11929805046772e-08,2.12268892734847e-06
"YBL003C",-1.98828039280034,7.74243421731769,265.434300841459,2.18253071620519e-08,2.14315957387365e-06
"YGR256W",2.96333719517913,4.86931808515836,263.933556915724,2.24218281020393e-08,2.15939452182717e-06
"YML073C",-1.82686003922905,9.71275102561163,262.153737009993,2.31416199207215e-08,2.18666476533912e-06
"YIL121W",-1.16558690897037,6.66652204012676,260.054494479301,2.40342944211105e-08,2.22785719314894e-06
"YER131W",-1.79290344612878,9.53375898750453,259.069741041111,2.44672814742795e-08,2.22785719314894e-06
"YER037W",2.81829490310351,5.7158620425998,257.470198657729,2.51941339731378e-08,2.25307540959775e-06
"YGL147C",-2.45129668200042,10.3208949566269,255.912212186965,2.59205804169525e-08,2.27737310049295e-06
"YIL078W",-1.27340673706767,10.2549125794778,252.293331141437,2.77163044875111e-08,2.39315953230096e-06
"YKL182W",-1.62964736423051,12.1915205350556,250.319868599155,2.87587131941309e-08,2.41179316438732e-06
"YKL151C",1.80736156190584,6.39865115058454,250.067881352019,2.88952855158226e-08,2.41179316438732e-06
"YJL052W",2.80541520188949,10.0684170362709,247.748988644171,3.01885085464263e-08,2.44846459847692e-06
"YAL060W",1.41385341503017,7.17707027554372,247.105144241895,3.05599253572376e-08,2.44846459847692e-06
"YDL171C",-1.58986284811896,9.99852982128004,246.691574244928,3.08013717460155e-08,2.44846459847692e-06
"YLR270W",1.02485658080125,6.70529733964368,245.16563407172,3.17124880316459e-08,2.48150218847629e-06
"YJL034W",1.55631624139357,11.4889841291162,243.932283194694,3.24726563486765e-08,2.50189327683342e-06
"YBR006W",1.16458332559242,6.10567763841577,240.616406960047,3.46281815836694e-08,2.6275444450154e-06
"YBR084W",-1.09219310172548,9.4083034874899,238.991245187045,3.5747294672281e-08,2.67197689132512e-06
"YHR208W",-2.28602361540757,7.77811695378063,237.621249906921,3.6724838518378e-08,2.70467634264761e-06
"YGR027C",-1.8201239353495,9.79707145641966,235.633250545584,3.82012696158939e-08,2.77263707588981e-06
"YML063W",-2.0851883911239,11.0655403827067,234.759604058746,3.88726900848263e-08,2.78106331349729e-06
"YBR054W",2.65626602577214,9.05819261704478,233.019038606327,4.0253285139228e-08,2.81629577976502e-06
"YKL180W",-1.9405301979511,10.1699258614045,232.727964392545,4.04898754279316e-08,2.81629577976502e-06
"YLR214W",-1.69764449677528,8.32895936129392,231.91453989542,4.11600326902581e-08,2.82369100976456e-06
"YBR249C",-1.29503049960034,8.75784038898285,227.014926704537,4.54919127668603e-08,3.04899332741487e-06
"YDR453C",2.21461814257101,5.40245708869694,226.838217678795,4.5661840965678e-08,3.04899332741487e-06
