"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLR429W",7.67982463066511,7.60404441913846,182.238472873368,7.69961667040896e-18,1.55353134144156e-15,29.7670927331308
"YNL239W",7.2552961971993,7.14888417777091,174.238576439635,1.16872786150631e-17,1.55353134144156e-15,29.6663868048471
"YLR248W",8.1957328794999,8.05059710670442,184.736944175751,6.78408141946753e-18,1.55353134144156e-15,29.6378758362672
"YBR283C",8.15610673661763,8.31119655835094,184.095398678199,7.00707574164562e-18,1.55353134144156e-15,29.6371340283701
"YOR330C",6.82120768204941,6.94597602355051,169.706434176211,1.4932079306553e-17,1.55353134144156e-15,29.6047467180811
"YER094C",7.90138613602645,7.48005165385849,177.642204722611,9.76349593574382e-18,1.55353134144156e-15,29.5585845479011
"YJL039C",7.89974407339539,8.24220463352489,175.796699396301,1.07589361877807e-17,1.55353134144156e-15,29.5066373801602
"YHR103W",6.96532827636115,7.2198081240067,167.379437110068,1.69770756454467e-17,1.55353134144156e-15,29.5047493122469
"YGL140C",7.47048168267186,7.57727513721304,170.295799954614,1.44585060755601e-17,1.55353134144156e-15,29.4810609070436
"YIL005W",6.66507048870111,6.70663685640802,165.628826847313,1.87202300453929e-17,1.55353134144156e-15,29.4806881443763
"YOR127W",6.77261737600826,6.83259591397018,164.999550171435,1.93945337553311e-17,1.55353134144156e-15,29.4483076743262
"YKL073W",7.00280094674143,7.12111272006554,165.31833782341,1.90496333678727e-17,1.55353134144156e-15,29.4275389429976
"YGR218W",8.6748902207369,8.80308449080553,183.908138836651,7.07368693213056e-18,1.55353134144156e-15,29.4255766624029
"YPL195W",6.97113195614724,7.01232059081984,164.98397252157,1.94115637573124e-17,1.55353134144156e-15,29.4210876244326
"YMR266W",7.84051821817103,8.14631746376838,169.908110193835,1.47681201742791e-17,1.55353134144156e-15,29.3494277371135
"YDR099W",8.6373400183994,8.38824790181069,180.277805968971,8.51418565428528e-18,1.55353134144156e-15,29.34874925817
"YEL022W",7.47689813462001,7.70761265694253,166.219018298335,1.8111336213789e-17,1.55353134144156e-15,29.3455267497568
"YHR107C",6.55494254404159,6.52961577706843,161.707839431905,2.33903207087019e-17,1.55353134144156e-15,29.3454000135645
"YFR024C-A",7.94630159322681,7.51987480524154,170.888202074903,1.39991977456137e-17,1.55353134144156e-15,29.3437023077594
"YKL173W",6.68547946404053,6.68605713495337,161.130544330628,2.41810315418781e-17,1.55353134144156e-15,29.31713997402
"YDL160C",7.4777641779909,7.66519111920179,165.324380788486,1.90431613521508e-17,1.55353134144156e-15,29.315187920611
"YGR217W",6.91761942740211,7.0959517651199,161.666932510126,2.34453973109125e-17,1.55353134144156e-15,29.3111548895967
"YGR271W",7.29683802752152,7.4269518223565,163.567677559533,2.10313848817766e-17,1.55353134144156e-15,29.3036543134547
"YPL145C",7.93709583604538,8.10617613610805,168.977821242831,1.55414467929076e-17,1.55353134144156e-15,29.2878200732127
"YMR237W",7.95700998646674,7.76347165176254,168.767446005171,1.57224787602107e-17,1.55353134144156e-15,29.2742164329637
"YBR015C",7.91785449366878,8.06423123056722,167.80890222009,1.65774266514859e-17,1.55353134144156e-15,29.2570042684935
"YNL267W",6.76614741511167,6.95645559287684,159.69081192539,2.62851352406396e-17,1.55353134144156e-15,29.2560298734978
