# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "GFF" "-p" "-t" "gene" "-g" "ID" "-a" "/media/BioNAS/ag_hallab/DATR/material/reference.gff" "-o" "../results/condition1/9929265/counts.txt" "../results/condition1/9929265/alignment_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../results/condition1/9929265/alignment_sorted.bam
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7013	9049	-	2037	657
YAL066W	chrI	9807	10460	+	654	33
YAL065C	chrI	11565	11951	-	387	0
YAL064W-B	chrI	11313	15151	+	3839	1267
YAL064C-A	chrI	13363	13743	-	381	0
YAL064W	chrI	21566	21850	+	285	17
YAL063C-A	chrI	22051	23617	-	1567	302
YAL063C	chrI	24000	27968	-	3969	2207
YAL062W	chrI	31527	33039	+	1513	1314
YAL061W	chrI	33345	35113	+	1769	1370
YAL060W	chrI	34983	36433	+	1451	10185
YAL059C-A	chrI	36496	36918	-	423	0
YAL059W	chrI	36463	37344	+	882	797
YAL058W	chrI	37405	39163	+	1759	2359
YAL056C-A	chrI	38696	39046	-	351	0
YAL056W	chrI	39196	42040	+	2845	5537
YAL055W	chrI	42142	42884	+	743	442
YAL054C	chrI	42713	45073	-	2361	1672
YAL053W	chrI	45675	48312	+	2638	21476
YAL051W	chrI	48564	51707	+	3144	3690
YAL049C	chrI	51691	54082	-	2392	5435
YAL048C	chrI	52801	54789	-	1989	35
YAL047W-A	chrI	54209	55065	+	857	1
YAL047C	chrI	54931	56886	-	1956	1304
YAL046C	chrI	56907	57544	-	638	0
YAL045C	chrI	57488	57796	-	309	0
YAL044W-A	chrI	56955	57990	+	1036	0
YAL044C	chrI	57756	58614	-	859	11159
YAL043C	chrI	58499	61083	-	2585	6458
YAL042C-A	chrI	61231	61608	-	378	0
YAL042W	chrI	61259	62680	+	1422	10709
YAL041W	chrI	62773	65501	+	2729	5875
YAL040C	chrI	65456	67848	-	2393	3467
YAL039C	chrI	68629	70088	-	1460	3730
YAL038W	chrI	71479	73450	+	1972	153059
YAL037C-B	chrI	72326	73300	-	975	0
YAL037C-A	chrI	73371	73710	-	340	0
YAL037W	chrI	73453	76400	+	2948	160
YAL036C	chrI	74176	76207	-	2032	0
YAL035W	chrI	76364	79559	+	3196	18801
YAL034C-B	chrI	79446	79873	-	428	1
YAL034W-A	chrI	79674	80747	+	1074	323
YAL034C	chrI	80549	82602	-	2054	1520
YAL033W	chrI	82685	83397	+	713	1059
YAL032C	chrI	83192	84590	-	1399	2167
YAL031W-A	chrI	84669	84977	+	309	0
YAL031C	chrI	84587	87078	-	2492	2051
YAL030W	chrI	87264	88061	+	798	2192
YAL029C	chrI	87855	92270	-	4416	13961
YAL028W	chrI	92409	94566	+	2158	646
YAL027W	chrI	94595	95583	+	989	800
YAL026C-A	chrI	95386	95823	-	438	0
YAL026C	chrI	95630	99697	-	4068	13480
YAL025C	chrI	99939	101168	-	1230	2831
YAL024C	chrI	101565	105872	-	4308	2832
YAL023C	chrI	106141	108718	-	2578	27104
YAL022C	chrI	108731	110471	-	1741	5665
YAL021C	chrI	110536	113406	-	2871	6855
YAL020C	chrI	113468	114672	-	1205	1258
YAL019W-A	chrI	114250	114819	+	570	0
YAL019W	chrI	114788	118363	+	3576	7541
YAL018C	chrI	118426	119591	-	1166	27
YAL017W	chrI	120225	124295	+	4071	6244
YAL016C-B	chrI	124307	124492	-	186	31
YAL016C-A	chrI	124755	125069	-	315	3
YAL016W	chrI	124786	126883	+	2098	9868
YAL015C	chrI	126756	128110	-	1355	2259
YAL014C	chrI	128031	129072	-	1042	3400
YAL013W	chrI	129194	130593	+	1400	772
YAL012W	chrI	130436	132100	+	1665	29751
YAL011W	chrI	132169	134210	+	2042	1336
YAL010C	chrI	134001	135743	-	1743	1062
YAL009W	chrI	135408	136780	+	1373	985
YAL008W	chrI	136431	137718	+	1288	1670
YAL007C	chrI	137408	138453	-	1046	0
YAL005C	chrI	139357	141684	-	2328	0
YAL004W	chrI	137649	142152	+	4504	136
YAL003W	chrI	142032	143496	+	1465	56293
YAL002W	chrI	143550	147630	+	4081	6908
YAL001C	chrI	147594	151166	-	3573	3734
YAR002W	chrI	152204	154114	+	1911	4032
YAR002C-A	chrI	153765	154750	-	986	7463
YAR003W	chrI	154905	156909	+	2005	2460
YAR007C	chrI	156681	158715	-	2035	5806
YAR008W	chrI	158847	159972	+	1126	819
YAR014C	chrI	166565	169021	-	2457	6377
YAR015W	chrI	169272	172008	+	2737	7036
YAR018C	chrI	170177	171735	-	1559	0
YAR019C	chrI	172126	175168	-	3043	1784
YAR019W-A	chrI	174998	175330	+	333	19
YAR020C	chrI	176856	177023	-	168	154
YAR023C	chrI	179099	180697	-	1599	1020
YAR027W	chrI	183671	184687	+	1017	3390
YAR028W	chrI	184821	185977	+	1157	100
YAR029W	chrI	185009	186754	+	1746	0
YAR030C	chrI	186033	186857	-	825	0
YAR031W	chrI	186836	187732	+	897	1403
YAR033W	chrI	187843	189258	+	1416	1193
YAR035W	chrI	190156	192365	+	2210	519
YAR035C-A	chrI	192337	192417	-	81	4
YAR042W	chrI	192583	196349	+	3767	10234
YAR047C	chrI	201467	201787	-	321	171
YAR050W	chrI	203403	208016	+	4614	1508
YAR053W	chrI	208193	209632	+	1440	249
YAR060C	chrI	217157	217492	-	336	35
YAR064W	chrI	220198	220497	+	300	41
YAR066W	chrI	221049	221660	+	612	149
YAR068W	chrI	222406	222891	+	486	143
YAR069C	chrI	224011	224304	-	294	34
YAR070C	chrI	224563	224862	-	300	23
YAR071W	chrI	225460	226863	+	1404	762
YAR073W	chrI	227742	228953	+	1212	81
YAR075W	chrI	228844	229317	+	474	3
YBL113C	chrII	280	2658	-	2379	777
YBL113W-A	chrII	646	1128	+	483	0
YBL112C	chrII	2582	2899	-	318	107
YBL111C	chrII	2907	5009	-	2103	699
YBL109W	chrII	5790	6125	+	336	0
YBL108C-A	chrII	7605	7733	-	129	21
YBL108W	chrII	8177	8482	+	306	0
YBL107W-A	chrII	9268	9372	+	105	29
YBL107C	chrII	9730	10563	-	834	1740
YBL106C	chrII	10847	13879	-	3033	2413
YBL105C	chrII	14104	17965	-	3862	8357
YBL104C	chrII	18076	21318	-	3243	4798
YBL103C	chrII	21573	23802	-	2230	1807
YBL102W	chrII	23879	24968	+	1090	3187
YBL101C	chrII	24777	28406	-	3630	5315
YBL100W-C	chrII	28372	29119	+	748	278
YBL100C	chrII	36989	37303	-	315	0
YBL099W	chrII	36702	39100	+	2399	15184
YBL098W	chrII	39145	40527	+	1383	1670
YBL097W	chrII	40831	43095	+	2265	311
YBL096C	chrII	43132	44042	-	911	0
YBL095W	chrII	42052	44341	+	2290	0
YBL094C	chrII	43765	44097	-	333	0
YBL093C	chrII	43818	45023	-	1206	3033
YBL092W	chrII	45281	45977	+	697	4252
YBL091C-A	chrII	46322	47201	-	880	5578
YBL091C	chrII	47010	48690	-	1681	7257
YBL090W	chrII	48785	49634	+	850	1726
YBL089W	chrII	49510	51278	+	1769	2120
YBL088C	chrII	51019	59382	-	8364	6830
YBL087C	chrII	59593	60845	-	1253	11562
YBL086C	chrII	61142	62726	-	1585	1261
YBL085W	chrII	63674	66938	+	3265	4043
YBL084C	chrII	67169	69445	-	2277	2567
YBL083C	chrII	69658	71093	-	1436	3
YBL082C	chrII	69715	71394	-	1680	66
YBL081W	chrII	71317	73109	+	1793	471
YBL080C	chrII	72944	74748	-	1805	1229
