Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0.363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	3	0.228	13.1578947368421	0.0743437270324348	0.326068978212433
YAL067C	chrI	7013	9049	-	2037	115	2.037	56.4555719194895	2.84984286957667	1.39903920941417
YAL066W	chrI	9807	10460	+	654	6	0.654	9.1743119266055	0.14868745406487	0.22735084719399
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	709	3.839	184.683511331076	17.5699008219988	4.57668685126303
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	7	0.285	24.5614035087719	0.173468696409015	0.608662092663209
YAL063C-A	chrI	22051	23617	-	1567	112	1.567	71.4741544352266	2.77549914254423	1.77121834240219
YAL063C	chrI	24000	27968	-	3969	1005	3.969	253.212396069539	24.9051485558657	6.27491775154086
YAL062W	chrI	31527	33039	+	1513	679	1.513	448.777263714475	16.8264635516744	11.1212581306506
YAL061W	chrI	33345	35113	+	1769	639	1.769	361.221028829847	15.8352138579086	8.95150585523382
YAL060W	chrI	34983	36433	+	1451	2743	1.451	1890.42039972433	67.9749477499896	46.8469660578839
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	1124	0.882	1274.37641723356	27.8541163948189	31.580630833128
YAL058W	chrI	37405	39163	+	1759	2309	1.759	1312.67765776009	57.2198885726307	32.5297831566974
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	4171	2.845	1466.08084358524	103.362561817429	36.3313046809942
YAL055W	chrI	42142	42884	+	743	304	0.743	409.152086137281	7.53349767262006	10.1392970021804
YAL054C	chrI	42713	45073	-	2361	754	2.361	319.356204997882	18.6850567274853	7.91404351015895
YAL053W	chrI	45675	48312	+	2638	6065	2.638	2299.09021986353	150.298234817239	56.9743119094917
