target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	153.94	0	0
YAL068W-A_mRNA	255	99.4951	0	0
YAL068C_mRNA	363	200.414	0	0
YAL067W-A_mRNA	228	77.3349	1	0.41936
YAL067C_id001	1782	1617.95	62	1.24277
YAL066W_id001	309	148.401	0	0
YAL065C_mRNA	387	223.807	29.0058	4.20315
YAL064W-B_id001	381	217.873	22	3.27478
YAL064C-A_mRNA	381	217.873	37.2846	5.54996
YAL064W_mRNA	285	126.032	17	4.37453
YAL063C-A_id001	1567	1402.95	124	2.86644
YAL063C-A_id006	291	131.424	0	0
YAL063C_mRNA	3969	3804.95	590.496	5.03305
YAL062W_id001	1513	1348.95	262.026	6.29958
YAL062W_id003	1374	1209.95	94.9737	2.54565
YAL061W_id003	1674	1509.95	424.224	9.11162
YAL061W_id001	1254	1089.95	167.776	4.99213
YAL060W_id014	1327	1162.95	1006.15	28.0584
YAL060W_id001	1149	984.95	274.852	9.04998
YAL059W_id002	879	714.95	461.739	20.9451
YAL059C-A_mRNA	423	259.397	0	0
YAL059W_id001	639	474.95	734.261	50.1378
YAL058W_id001	1759	1594.95	810.235	16.475
YAL058W_id003	1509	1344.95	176.765	4.26239
YAL056C-A_mRNA	351	188.647	0	0
YAL056W_id006	2807	2642.95	1257.01	15.4246
YAL056W_id001	2643	2478.95	557.987	7.29994
YAL055W_id003	697	532.95	34.6157	2.10644
YAL055W_id001	543	378.988	91.3843	7.82004
YAL054C_id001	2142	1977.95	390	6.39458
YAL053W_id003	2583	2418.95	2722.63	36.5026
YAL053W_id001	2352	2187.95	572.372	8.48406
YAL051W_mRNA	3144	2979.95	1139	12.3959
YAL049C_id001	2392	2227.95	1049.63	15.279
YAL049C_id002	741	576.95	810.187	45.5418
YAL048C_mRNA	1989	1824.95	400.527	7.11777
YAL047W-A_id001	855	690.95	35.998	1.68964
YAL047W-A_id002	330	168.293	0	0
YAL047C_id001	1956	1791.95	449.608	8.13712
YAL047C_id002	1869	1704.95	0.0483263	0.000919253
YAL046C_id001	638	473.95	65.3597	4.47239
YAL044W-A_id004	986	821.95	304.798	12.0262
YAL046C_id002	357	194.512	159.046	26.518
YAL045C_mRNA	309	148.401	10.8406	2.36907
YAL044W-A_id001	333	171.241	327.925	62.1054
YAL044C_id002	721	556.95	1529.56	89.0664
YAL044C_id001	513	349.025	855.466	79.4895
YAL043C_id001	2570	2405.95	1134.88	15.2977
YAL043C_id002	2358	2193.95	976.118	14.4291
YAL042C-A_mRNA	378	214.938	102.483	15.4632
YAL042W_id001	1412	1247.95	3553.96	92.3588
YAL042W_id005	1248	1083.95	2882.55	86.2444
YAL041W_id003	2691	2526.95	2264.93	29.0684
YAL041W_id001	2565	2400.95	2.07099	0.0279741
YAL040C_id003	2253	2088.95	1258.4	19.5369
YAL040C_id001	1755	1590.95	96.5963	1.96909
YAL039C_id002	1014	849.95	714	27.2438
YAL039C_id001	810	645.95	0	0
YAL038W_id004	1805	1640.95	53841.6	1064.11
YAL038W_id001	1503	1338.95	198174	4800.05
YAL037C-B_mRNA	975	810.95	0	0
YAL037C-A_id001	93	27.6	0	0
YAL037W_id001	2948	2783.95	129.995	1.51435
YAL037W_id002	804	639.95	72.1179	3.65477
YAL036C_id004	1430	1265.95	2397.62	61.4224
YAL036C_id001	1110	945.95	633.265	21.711
YAL035W_id001	3195	3030.95	7642.56	81.7754
YAL035W_id002	3009	2844.95	4812.44	54.8597
YAL034C-B_id001	354	191.57	1.03458	0.175146
YAL034W-A_id001	1071	906.95	136.727	4.88915
YAL034W-A_id002	870	705.95	73.5748	3.38001
YAL034C_id002	2038	1873.95	557.664	9.65111
YAL034C_id001	1242	1077.95	0	0
YAL033W_id003	697	532.95	159.729	9.71986
YAL033W_id001	522	358.025	378.697	34.3038
YAL032C_id008	1313	1148.95	355.8	10.0431
YAL032C_id001	1140	975.95	270.774	8.99791
YAL031C_id003	2445	2280.95	649.964	9.24137
YAL031W-A_mRNA	309	148.401	43.1056	9.42022
YAL031C_id001	2283	2118.95	193.93	2.96816
YAL030W_id002	750	585.95	294.021	16.2735
YAL030W_id001	354	191.57	356.357	60.3281
YAL029C_mRNA	4416	4251.95	5046.62	38.4924
YAL028W_id005	1715	1550.95	207.999	4.34937
YAL028W_id001	1587	1422.95	0.000812689	1.85224e-05
YAL027W_id001	989	824.95	266.139	10.4627
YAL027W_id002	786	621.95	2.63401	0.137349
