Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0.363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	294	2.037	144.329896907216	9.2417694027648	4.53695110592283
YAL066W	chrI	9807	10460	+	654	17	0.654	25.9938837920489	0.534388026690482	0.817107074450278
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	963	3.839	250.84657462881	30.2715099825255	7.88525917752683
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	4	0.285	14.0350877192982	0.12573835922129	0.441187225337859
YAL063C-A	chrI	22051	23617	-	1567	146	1.567	93.1716656030632	4.58945011157708	2.92881308971096
YAL063C	chrI	24000	27968	-	3969	1368	3.969	344.671201814059	43.0025188536811	10.8345978467325
YAL062W	chrI	31527	33039	+	1513	1198	1.513	791.804362194316	37.6586385867763	24.8900453316433
YAL061W	chrI	33345	35113	+	1769	1014	1.769	573.205200678349	31.874674062597	18.0184703576014
YAL060W	chrI	34983	36433	+	1451	7190	1.451	4955.2033080634	226.014700700268	155.76478339095
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	634	0.882	718.820861678005	19.9295299365744	22.5958389303565
YAL058W	chrI	37405	39163	+	1759	2135	1.759	1213.75781694144	67.1128492343634	38.153979098558
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	3478	2.845	1222.49560632689	109.329503342911	38.4286479236947
YAL055W	chrI	42142	42884	+	743	332	0.743	446.837146702557	10.4362838153671	14.0461424163756
YAL054C	chrI	42713	45073	-	2361	1111	2.361	470.563320626853	34.9238292737132	14.7919649613355
YAL053W	chrI	45675	48312	+	2638	11412	2.638	4326.00454890068	358.73153885834	135.986178490652
