target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	166.006	0	0
YAL068W-A_mRNA	255	110.516	0	0
YAL068C_mRNA	363	212.686	0	0
YAL067W-A_mRNA	228	87.4987	2	0.683633
YAL067C_id001	1782	1630.96	210	3.85097
YAL066W_id001	309	160.336	1	0.186536
YAL065C_mRNA	387	236.375	49.9789	6.32382
YAL064W-B_id001	381	230.422	43.7441	5.67795
YAL064C-A_mRNA	381	230.422	70.2291	9.11567
YAL064W_mRNA	285	137.579	67	14.5653
YAL063C-A_id001	1567	1415.96	494	10.4345
YAL063C-A_id006	291	143.178	0	0
YAL063C_mRNA	3969	3817.96	1353.03	10.5992
YAL062W_id001	1513	1361.96	872.046	19.15
YAL062W_id003	1374	1222.96	186.954	4.57211
YAL061W_id003	1674	1522.96	337.227	6.6226
YAL061W_id001	1254	1102.96	133.773	3.62747
YAL060W_id014	1327	1175.96	1486.47	37.8057
YAL060W_id001	1149	997.96	615.534	18.4473
YAL059W_id002	879	727.96	800.756	32.8994
YAL059C-A_mRNA	423	272.146	0	0
YAL059W_id001	639	487.96	1259.24	77.1828
YAL058W_id001	1759	1607.96	1460.03	27.1569
YAL058W_id003	1509	1357.96	798.972	17.597
YAL056C-A_mRNA	351	200.853	0	0
YAL056W_id006	2807	2655.96	1166.03	13.1306
YAL056W_id001	2643	2491.96	1334.97	16.0223
YAL055W_id003	697	545.96	106.356	5.82633
YAL055W_id001	543	391.96	160.644	12.258
YAL054C_id001	2142	1990.96	967	14.5264
YAL053W_id003	2583	2431.96	4453.33	54.7675
YAL053W_id001	2352	2200.96	2326.67	31.6168
YAL051W_mRNA	3144	2992.96	2092	20.9053
YAL049C_id001	2392	2240.96	1534.02	20.4735
YAL049C_id002	741	589.96	1303.15	66.0642
YAL048C_mRNA	1989	1837.96	558.319	9.08534
YAL047W-A_id001	855	703.96	99.8801	4.24352
YAL047W-A_id002	330	180.502	0	0
YAL047C_id001	1956	1804.96	676.447	11.2089
YAL047C_id002	1869	1717.96	68.1795	1.18696
YAL046C_id001	638	486.96	113.576	6.97572
YAL044W-A_id004	986	834.96	421.536	15.0995
YAL046C_id002	357	206.832	292.339	42.273
YAL045C_mRNA	309	160.336	13.493	2.51693
YAL044W-A_id001	333	183.447	533.297	86.9467
YAL044C_id002	721	569.96	2041.52	107.128
YAL044C_id001	513	362.035	1245.24	102.872
YAL043C_id001	2570	2418.96	1551.79	19.1866
YAL043C_id002	2358	2206.96	1856.21	25.1552
YAL042C-A_mRNA	378	227.491	292.64	38.4738
YAL042W_id001	1412	1260.96	4404.66	104.473
