target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	157.906	0	0
YAL068W-A_mRNA	255	102.738	0	0
YAL068C_mRNA	363	204.467	0	0
YAL067W-A_mRNA	228	79.924	2	0.840883
YAL067C_id001	1782	1622.65	187	3.87258
YAL066W_id001	309	152.282	1	0.220665
YAL065C_mRNA	387	228.101	46.288	6.81905
YAL064W-B_id001	381	222.191	35.3345	5.34387
YAL064C-A_mRNA	381	222.191	64.7541	9.79319
YAL064W_mRNA	285	129.641	60	15.5522
YAL063C-A_id001	1567	1407.65	453	10.814
YAL063C-A_id006	291	135.169	0	0
YAL063C_mRNA	3969	3809.65	1210.12	10.674
YAL062W_id001	1513	1353.65	788.816	19.5818
YAL062W_id003	1374	1214.65	162.184	4.48685
YAL061W_id003	1674	1514.65	306.536	6.80068
YAL061W_id001	1254	1094.65	102.464	3.14544
YAL060W_id014	1327	1167.65	1338.2	38.5117
YAL060W_id001	1149	989.647	528.798	17.9553
YAL059W_id002	879	719.647	719.647	33.6034
YAL059C-A_mRNA	423	263.855	0	0
YAL059W_id001	639	479.647	1116.35	78.2101
YAL058W_id001	1759	1599.65	1394.89	29.3021
YAL058W_id003	1509	1349.65	632.108	15.7382
YAL056C-A_mRNA	351	192.627	0	0
YAL056W_id006	2807	2647.65	1097.8	13.9331
YAL056W_id001	2643	2483.65	1149.2	15.5484
YAL055W_id003	697	537.647	90.7715	5.6733
YAL055W_id001	543	383.647	132.228	11.5818
YAL054C_id001	2142	1982.65	897	15.203
YAL053W_id003	2583	2423.65	4018.43	55.7147
YAL053W_id001	2352	2192.65	2084.57	31.9471
YAL051W_mRNA	3144	2984.65	1880	21.1664
YAL049C_id001	2392	2232.65	1387.43	20.882
YAL049C_id002	741	581.647	1122.55	64.8528
YAL048C_mRNA	1989	1829.65	502.197	9.22338
YAL047W-A_id001	855	695.647	80.0323	3.86598
YAL047W-A_id002	330	172.342	0.0248658	0.00484834
YAL047C_id001	1956	1796.65	633.879	11.8557
YAL047C_id002	1869	1709.65	41.891	0.823374
YAL046C_id001	638	478.647	105.603	7.41389
YAL044W-A_id004	986	826.647	375.969	15.2832
YAL046C_id002	357	198.607	279.852	47.3496
YAL045C_mRNA	309	152.282	15.7069	3.46596
YAL044W-A_id001	333	175.29	483.539	92.695
YAL044C_id002	721	561.647	1807.98	108.171
YAL044C_id001	513	353.72	1108.35	105.293
YAL043C_id001	2570	2410.65	1353.15	18.8623
YAL043C_id002	2358	2198.65	1735.85	26.5302
YAL042C-A_mRNA	378	219.279	279.995	42.9078
YAL042W_id001	1412	1252.65	3745.55	100.478
YAL042W_id005	1248	1088.65	3880.46	119.778
YAL041W_id003	2691	2531.65	3243.88	43.0571
YAL041W_id001	2565	2405.65	32.1167	0.448623
YAL040C_id003	2253	2093.65	1181.35	18.9609
YAL040C_id001	1755	1595.65	342.645	7.2159
YAL039C_id002	1014	854.647	1437	56.5006
YAL039C_id001	810	650.647	3.29719e-08	1.70287e-09
YAL038W_id004	1805	1645.65	31953.9	652.484
YAL038W_id001	1503	1343.65	152338	3809.84
YAL037C-B_mRNA	975	815.647	0	0
YAL037C-A_id001	93	28.8	0	0
YAL037W_id001	2948	2788.65	284.18	3.42439
YAL037W_id002	804	644.647	171.307	8.92966
YAL036C_id004	1430	1270.65	2733.44	72.2882
YAL036C_id001	1110	950.647	985.074	34.8203
YAL035W_id001	3195	3035.65	5043.09	55.825
YAL035W_id002	3009	2849.65	5042.91	59.4666
YAL034C-B_id001	354	195.627	5.74354	0.986582
YAL034W-A_id001	1071	911.647	117.224	4.3209
YAL034W-A_id002	870	710.647	87.6212	4.14322
YAL034C_id002	2038	1878.65	988.411	17.6797
YAL034C_id001	1242	1082.65	0	0
YAL033W_id003	697	537.647	235.186	14.6993
YAL033W_id001	522	362.72	514.333	47.6493
YAL032C_id008	1313	1153.65	703.396	20.4885
YAL032C_id001	1140	980.647	301.085	10.3171
YAL031C_id003	2445	2285.65	170.122	2.50112
YAL031W-A_mRNA	309	152.282	113.858	25.1244
YAL031C_id001	2283	2123.65	859.02	13.5926
YAL030W_id002	750	590.647	466.405	26.5349
YAL030W_id001	354	195.627	522.446	89.7419
YAL029C_mRNA	4416	4256.65	7432.15	58.6718
YAL028W_id005	1715	1555.65	218.763	4.72547
YAL028W_id001	1587	1427.65	70.2372	1.65321
YAL027W_id001	989	829.647	287.606	11.649
YAL027W_id002	786	626.647	0	0
YAL026C-A_mRNA	438	278.749	311.21	37.5166
YAL026C_mRNA	4068	3908.65	5416.64	46.5678
YNCA0001W_ncRNA	564	404.647	516.547	42.896
YAL025C_id001	1230	1070.65	1216.17	38.1708
YAL025C_id002	921	761.647	308.829	13.6253
YAL024C_mRNA	4308	4148.65	2414	19.553
YAL023C_id006	2529	2369.65	15445.5	219.029
YAL023C_id001	2280	2120.65	1623.48	25.7254
YAL022C_id001	1740	1580.65	1640.13	34.868
YAL022C_id002	1554	1394.65	476.867	11.4899
YAL021C_id002	2868	2708.65	1721.6	21.3581
YAL021C_id001	2514	2354.65	2801.4	39.9791
YAL020C_id001	1157	997.647	923.348	31.1008
YAL020C_id002	1002	842.647	121.981	4.86441
YAL019W-A_mRNA	570	410.647	78.6709	6.43767
YAL019W_id001	3396	3236.65	4866	50.5196
YAL018C_id001	978	818.647	22	0.903044
YAL017W_mRNA	4071	3911.65	3602	30.9433
YAL016C-B_mRNA	186	48.8634	7	4.81391
YAL016C-A_mRNA	315	157.906	107.166	22.8055
YAL016W_id001	2098	1938.65	3198.2	55.4357
YAL016W_id002	1908	1748.65	913.438	17.5533
YAL015C_id001	1355	1195.65	842.329	23.6735
YAL015C_id002	1200	1040.65	366.868	11.8465
YAL014C_id001	1042	882.647	663.596	25.2638
YAL014C_id005	768	608.647	494.404	27.296
YAL013W_id001	1390	1230.65	501	13.68
YAL013W_id002	1218	1058.65	0.000131883	4.18619e-06
YAL012W_id002	1415	1255.65	12061	322.774
YAL012W_id001	1185	1025.65	0	0
YAL011W_id001	2042	1882.65	411.533	7.34546
YAL011W_id003	1878	1718.65	288.316	5.63722
YAL010C_id001	1688	1528.65	533.949	11.7375
