target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	158.389	0	0
YAL068W-A_mRNA	255	104.502	0	0
YAL068C_mRNA	363	204.613	0	0
YAL067W-A_mRNA	228	82.3872	1	0.308735
YAL067C_id001	1782	1622.15	61	0.956499
YAL066W_id001	309	152.768	0	0
YAL065C_mRNA	387	228.113	42.1558	4.70061
YAL064W-B_id001	381	222.226	28.5356	3.26616
YAL064C-A_mRNA	381	222.226	33.582	3.84378
YAL064W_mRNA	285	130.915	19	3.69156
YAL063C-A_id001	1567	1407.15	169	3.05487
YAL063C-A_id006	291	136.462	0	0
YAL063C_mRNA	3969	3809.15	668.303	4.46264
YAL062W_id001	1513	1353.15	329.212	6.18835
YAL062W_id003	1374	1214.15	3.78848	0.0793666
YAL061W_id003	1674	1514.15	313.646	5.26886
YAL061W_id001	1254	1094.15	28.3543	0.659155
YAL060W_id014	1327	1167.15	1036.01	22.5779
YAL060W_id001	1149	989.152	463.989	11.9314
YAL059W_id002	879	719.152	850.996	30.0991
YAL059C-A_mRNA	423	263.727	0	0
YAL059W_id001	639	479.152	1277	67.79
YAL058W_id001	1759	1599.15	1260.13	20.0435
YAL058W_id003	1509	1349.15	271.868	5.1256
YAL056C-A_mRNA	351	192.892	0	0
YAL056W_id006	2807	2647.15	1323.58	12.7179
YAL056W_id001	2643	2483.15	897.424	9.19265
YAL055W_id003	697	537.152	38.3796	1.8174
YAL055W_id001	543	383.199	135.62	9.00217
YAL054C_id001	2142	1982.15	458	5.87726
YAL053W_id003	2583	2423.15	2832.26	29.7302
YAL053W_id001	2352	2192.15	426.745	4.95158
YAL051W_mRNA	3144	2984.15	1149	9.79367
YAL049C_id001	2392	2232.15	1311.26	14.9421
YAL049C_id002	741	581.152	1061.61	46.4644
YAL048C_mRNA	1989	1829.15	420.372	5.84562
YAL047W-A_id001	855	695.152	56.1398	2.05417
YAL047W-A_id002	330	172.57	6.25874	0.922503
YAL047C_id001	1956	1796.15	536.411	7.59629
YAL047C_id002	1869	1709.15	11.95	0.177842
YAL046C_id001	638	478.152	127.045	6.75833
YAL044W-A_id004	986	826.152	383.197	11.798
YAL046C_id002	357	198.734	235.017	30.0797
YAL045C_mRNA	309	152.768	19.9368	3.31947
YAL044W-A_id001	333	175.483	400.47	58.0473
YAL044C_id002	721	561.152	2317	105.025
YAL044C_id001	513	353.273	1156.33	83.2566
YAL043C_id001	2570	2410.15	1364.24	14.3977
YAL043C_id002	2358	2198.15	1036.76	11.9969
YAL042C-A_mRNA	378	219.27	150.819	17.4954
YAL042W_id001	1412	1252.15	5833.25	118.495
YAL042W_id005	1248	1088.15	2724.93	63.6961
YAL041W_id003	2691	2531.15	2549.94	25.6247
YAL041W_id001	2565	2405.15	0.059097	0.000624985
YAL040C_id003	2253	2093.15	865.842	10.5217
YAL040C_id001	1755	1595.15	92.1581	1.46953
YAL039C_id002	1014	854.152	711	21.1729
YAL039C_id001	810	650.152	0	0
YAL038W_id004	1805	1645.15	67859.8	1049.19
YAL038W_id001	1503	1343.15	178226	3375.15
YAL037C-B_mRNA	975	815.152	0	0
YAL037C-A_id001	93	9.61963	0	0
YAL037W_id001	2948	2788.15	178.677	1.63004
YAL037W_id002	804	644.152	71.72	2.83203
YAL036C_id004	1430	1270.15	2319.98	46.4596
YAL036C_id001	1110	950.152	534.619	14.3119
YAL035W_id001	3195	3035.15	7555.24	63.3161
YAL035W_id002	3009	2849.15	4542.76	40.5555
YAL034C-B_id001	354	195.813	0	0
YAL034W-A_id001	1071	911.152	178.665	4.98763
YAL034W-A_id002	870	710.152	64.7488	2.31914
YAL034C_id002	2038	1878.15	522.587	7.0774
YAL034C_id001	1242	1082.15	0	0
YAL033W_id003	697	537.152	326.95	15.4821
YAL033W_id001	522	362.273	606.494	42.5831
YAL032C_id008	1313	1153.15	363.648	8.02124
YAL032C_id001	1140	980.152	337.907	8.76902
YAL031C_id003	2445	2285.15	909.196	10.1202
YAL031W-A_mRNA	309	152.768	59.2075	9.85801
YAL031C_id001	2283	2123.15	0.596936	0.00715143
YAL030W_id002	750	590.152	401.741	17.3152
YAL030W_id001	354	195.813	471.806	61.287
YAL029C_mRNA	4416	4256.15	6024.45	36.0037
YAL028W_id005	1715	1555.15	144	2.35524
YAL028W_id001	1587	1427.15	0	0
YAL027W_id001	989	829.152	362.367	11.1163
YAL027W_id002	786	626.152	0	0
YAL026C-A_mRNA	438	278.593	286.605	26.1674
YAL026C_mRNA	4068	3908.15	6914.18	45.0003
YNCA0001W_ncRNA	564	404.199	547.847	34.4755
YAL025C_id001	1230	1070.15	1097.86	26.0944
YAL025C_id002	921	761.152	298.142	9.96319
YAL024C_mRNA	4308	4148.15	1722	10.559
YAL023C_id006	2529	2369.15	18292.8	196.397
YAL023C_id001	2280	2120.15	0.174881	0.00209808
YAL022C_id001	1740	1580.15	2217.31	35.6922
YAL022C_id002	1554	1394.15	364.69	6.65366
YAL021C_id002	2868	2708.15	1774.83	16.6698
YAL021C_id001	2514	2354.15	1961.17	21.1898
YAL020C_id001	1157	997.152	587.879	14.9959
YAL020C_id002	1002	842.152	31.3392	0.946551
YAL019W-A_mRNA	570	410.199	27.7818	1.72271
YAL019W_id001	3396	3236.15	4120	32.3828
YAL018C_id001	978	818.152	3	0.0932682
YAL017W_mRNA	4071	3911.15	2196	14.2815
YAL016C-B_mRNA	186	52.5935	7	3.38542
YAL016C-A_mRNA	315	158.389	31.5248	5.06258
YAL016W_id001	2098	1938.15	4775.13	62.6677
YAL016W_id002	1908	1748.15	0.000325809	4.74057e-06
YAL015C_id001	1355	1195.15	619.533	13.1852
YAL015C_id002	1200	1040.15	161.815	3.95701
YAL014C_id001	1042	882.152	711.517	20.5158
YAL014C_id005	768	608.152	410.483	17.1684
YAL013W_id001	1390	1230.15	330	6.82341
YAL013W_id002	1218	1058.15	9.223e-06	2.21703e-07
YAL012W_id002	1415	1255.15	15188	307.787
YAL012W_id001	1185	1025.15	0	0
YAL011W_id001	2042	1882.15	239.298	3.23393
YAL011W_id003	1878	1718.15	288.553	4.27179
YAL010C_id001	1688	1528.15	512.022	8.52253
YAL010C_id004	1482	1322.15	60.3463	1.16096
YAL009W_id001	1359	1199.15	274.998	5.83313
YAL009W_id006	780	620.152	420.782	17.2586
YAL008W_id005	904	744.152	199.666	6.82477
YAL008W_id001	597	437.199	221.694	12.898
YAL007C_id002	1007	847.152	2453.35	73.6621
YAL004W_id001	4492	4332.15	617.178	3.62371
YAL007C_id001	648	488.152	1681.77	87.6311
YNCA0002W_tRNA	72	5.82759	0	0
YAL005C_id002	2304	2144.15	45533.6	540.161
YAL005C_id001	1929	1769.15	19313	277.672
YAL004W_id002	648	488.152	0	0
YAL003W_id003	1356	1196.15	12023.5	255.677
YAL003W_id001	621	461.199	28108.5	1550.23
YNCA0003W_snoRNA	102	11.7994	0	0
YAL002W_id001	3825	3665.15	2323	16.1214
YAL001C_mRNA	3483	3323.15	1818	13.9152
YAR002W_id001	1900	1740.15	1970.49	28.8027
YAR002W_id002	1620	1460.15	343.573	5.98504
YAR002C-A_id004	943	783.152	2684.13	87.1773
YAR002C-A_id001	660	500.152	3670.81	186.684
YAR003W_id001	1952	1792.15	1113.99	15.8107
YAR003W_id002	1281	1121.15	281.102	6.37742
YAR007C_id002	2018	1858.15	2373.78	32.4942
YAR007C_id001	1866	1706.15	156.131	2.32766
YAR008W_id002	1070	910.152	556.622	15.5558
YAR008W_id001	828	668.152	23.3783	0.889988
YAR009C	3591	3431.15	3861.37	28.6252
YAR010C	1323	1163.15	2860.51	62.5537
YNCA0004W_tRNA	73	4.93023	1	5.15916
YAR014C_id002	2455	2295.15	2570.57	28.4882
YAR014C_id001	2130	1970.15	623.43	8.04886
YAR015W_id003	1367	1207.15	2707.46	57.0489
YAR015W_id001	921	761.152	1396.14	46.6556
YAR018C_id002	1539	1379.15	260.947	4.81267
YAR018C_id001	1308	1148.15	489.451	10.8432
YAR019C_id001	2925	2765.15	680.915	6.26355
YAR019W-A_mRNA	333	175.483	16.085	2.33149
YAR020C_mRNA	168	40.7832	8	4.98948
YAR023C_id001	1453	1293.15	168.557	3.31547
YAR023C_id002	540	380.199	27.4426	1.83595
YNCA0005W_tRNA	82	7.28662	6.2	21.6427
YNCA0006C_tRNA	82	7.28662	6.1	21.2936
YAR027W_id001	1017	857.152	862.646	25.5989
YAR027W_id003	708	548.152	0	0
YAR028W_id001	1146	986.152	498.535	12.8587
YAR028W_id002	705	545.152	70.6878	3.29817
YAR029W_id001	1746	1586.15	552.335	8.85735
YAR029W_id003	225	80.0259	1.13315	0.360168
YAR030C_id001	342	184.175	9.30991	1.28576
YAR031W_mRNA	897	737.152	455.313	15.7109
YAR033W_id001	1216	1056.15	576.154	13.8758
YAR033W_id003	705	545.152	5.20984e-05	2.43082e-06
YAR035W_id001	2064	1904.15	130	1.73655
YAR035C-A_mRNA	81	6.8069	2	7.47355
YAR042W_id001	3767	3607.15	3257	22.9668
YAR042W_id002	3567	3407.15	0	0
YAR047C_mRNA	321	164.112	41	6.35463
YAR050W_mRNA	4614	4454.15	355.362	2.02933
YAR053W_id001	297	141.949	10	1.7919
YAR060C_mRNA	336	178.358	42.5	6.06098
YAR064W_mRNA	300	144.554	17.36	3.05469
YAR066W_mRNA	612	452.199	42.4186	2.38602
YAR068W_mRNA	486	326.374	69.902	5.44779
YAR069C_mRNA	294	139.137	4.5	0.822653
YAR070C_mRNA	300	144.554	0	0
YAR071W_mRNA	1404	1244.15	207.4	4.24016
YAR073W_mRNA	1212	1052.15	3.15435	0.0762566
YAR075W_mRNA	474	314.502	1.02467	0.0828721
YBL113C_mRNA	2379	2219.15	707.289	8.10693
YBL113W-A_mRNA	483	323.406	0	0
YBL112C_mRNA	318	161.244	26.9464	4.25074
YBL111C_mRNA	2004	1844.15	270.615	3.73252
YBL109W_mRNA	336	178.358	0	0
YBL108C-A_mRNA	129	20.6824	0	0
YBL108W_mRNA	306	149.953	0	0
YBL107W-A_mRNA	105	12.7491	9.18215	18.3194
YNCB0001W_tRNA	84	7.34615	1.57143	5.44103
YBL107C_id002	822	662.152	278.103	10.683
YBL107C_id001	591	431.199	161.897	9.55011
YBL106C_mRNA	3033	2873.15	1579	13.9788
YBL105C_id002	3859	3699.15	3921	26.9613
YBL105C_id001	3456	3296.15	0.000227821	1.75806e-06
YBL104C_id001	3117	2957.15	1945	16.7299
YBL103C_id001	2218	2058.15	789	9.75093
YBL103C_id003	1461	1301.15	0	0
YBL102W_id001	1060	900.152	1446.36	40.8702
YBL102W_id002	648	488.152	600.64	31.2972
YBL101C_id001	3354	3194.15	1173	9.3409
YBL100W-C_id001	120	17.3664	50	73.2329
YBL100W-A	1317	1157.15	0	0
YBL100W-B	5313	5153.15	1030.47	5.08638
YNCB0002W_tRNA	73	4.93023	3.5	18.0571
YBL099W_id002	2281	2121.15	7600.52	91.1418
YBL100C_mRNA	315	158.389	0	0
YBL099W_id001	1638	1478.15	1645.48	28.3152
YBL098W_mRNA	1383	1223.15	772	16.054
YBL097W_mRNA	2265	2105.15	451	5.44928
YBL096C_id001	309	152.768	54.2356	9.03019
YBL095W_id001	813	653.152	422.901	16.4691
YBL095W_id003	1065	905.152	34.4375	0.967736
YBL094C_mRNA	333	175.483	0	0
YBL093C_id002	1181	1021.15	1280.28	31.8904
YBL093C_id001	663	503.152	315.151	15.9318
YBL092W_id001	1234	1074.15	5988.45	141.806
YBL092W_id002	726	566.152	40996.7	1841.88
YBL091C-A_id001	864	704.152	319.707	11.5487
YBL091C-A_id002	528	368.273	217.334	15.0108
YBL091C_id001	1627	1467.15	2067.96	35.8521
YBL091C_id002	1266	1106.15	2187.87	50.3099
YBL090W_id003	793	633.152	401.045	16.1113
YBL090W_id001	534	374.236	302.955	20.5911
YBL089W_id004	1677	1517.15	482.199	8.08433
YBL089W_id001	1380	1220.15	492.197	10.2606
YBL088C_mRNA	8364	8204.15	2876.6	8.91852
YBL087C_id001	1253	1093.15	3044.82	70.8479
YBL087C_id002	414	254.778	16942	1691.41
YBL086C_id001	1401	1241.15	459	9.40663
YBL085W_id001	3265	3105.15	2181	17.8657
YBL085W_id002	2943	2783.15	0.00163435	1.49367e-05
YBL084C_mRNA	2277	2117.15	888	10.6686
YBL083C_id001	1396	1236.15	432.746	8.90446
YBL083C_id002	426	266.647	0	0
YBL082C_id003	1459	1299.15	1399.25	27.3957
YBL082C_id001	1377	1217.15	1.01177e-05	2.11438e-07
YBL081W_id001	1793	1633.15	248.993	3.878
YBL081W_id002	1107	947.152	0	0
YBL080C_id001	1803	1643.15	506.007	7.83294
YBL080C_id002	1626	1466.15	7.99722e-06	1.38742e-07
YBL079W_mRNA	4509	4349.15	8241	48.1972
YBL078C_id016	879	719.152	164.899	5.83237
YBL078C_id001	354	195.813	24.1006	3.13064
YBL077W_mRNA	432	272.62	449.039	41.8959
YBL076C_id002	3361	3201.15	48808	387.821
YBL076C_id001	3219	3059.15	9741.94	81.0011
YBL075C_id001	2567	2407.15	486.715	5.14301
YBL075C_id002	1950	1790.15	353.04	5.01626
YBL074C_id001	1376	1216.15	151.771	3.1743
YBL074C_id002	1068	908.152	190.753	5.34268
YBL073W_mRNA	312	155.58	37.7212	6.16706
YNCB0003W_snoRNA	88	8.26101	61	187.821
YBL072C_id002	1220	1060.15	45699.1	1096.44
YBL072C_id001	911	751.152	8461.41	286.524
YBL071C-B_mRNA	99	11.023	7	16.1526
YBL071W-A_id001	812	652.152	936.57	36.529
YBL071W-A_id003	249	99.4725	207.145	52.9686
YBL071C_id001	309	152.768	169.606	28.2393
YBL070C_mRNA	321	164.112	68.931	10.6837
YBL069W_id001	1290	1130.15	816.034	18.3661
YBL068W-A_id002	1109	949.152	409.713	10.9797
YBL068W-A_id001	237	89.5757	0	0
YBL068W_id001	1557	1397.15	1478.98	26.9255
