Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C_mRNA	PAU8	chrI	-	1807	2169	0.385675	0.077445	0.131406
YAL067C_id001	SEO1	chrI	-	7235	9016	14.073513	2.826027	4.795066
YAL066W_id001	-	chrI	+	10091	10399	0.411003	0.082531	0.140035
YAL065C_mRNA	-	chrI	-	11565	11951	21.679586	4.353363	7.386574
YAL064W-B_id001	-	chrI	+	12046	12426	30.178480	6.059980	10.282280
YAL064C-A_mRNA	TDA8	chrI	-	13363	13743	24.593176	4.938425	8.379280
YAL064W_mRNA	-	chrI	+	21566	21850	1.456140	0.292400	0.496130
YAL063C-A	-	chrI	-	22051	23617	8.362254	1.679180	2.849151
YAL063C-A_id006	-	chrI	-	22395	22685	0.042432	0.008521	0.014457
YAL063C_mRNA	FLO9	chrI	-	24000	27968	30.208115	6.065930	10.292377
YAL062W	GDH3	chrI	+	31527	33039	66.643532	13.382333	22.706493
YAL062W_id003	GDH3	chrI	+	31567	32940	1.311739	0.263403	0.446930
YAL061W	BDH2	chrI	+	33345	35018	46.264076	9.290042	15.762895
YAL061W_id001	BDH2	chrI	+	33448	34701	10.108402	2.029814	3.444091
YAL060W	BDH1	chrI	+	35107	36433	265.087891	53.230888	90.319588
YAL060W_id001	BDH1	chrI	+	35155	36303	256.623505	51.531200	87.435646
YAL059W	ECM1	chrI	+	36466	37344	187.679947	37.687012	63.945496
YAL059C-A_mRNA	-	chrI	-	36496	36918	0.000000	0.000000	0.000000
YAL059W_id001	ECM1	chrI	+	36509	37147	30.135105	6.051270	10.267502
YAL058W	CNE1	chrI	+	37405	39163	84.625000	16.993095	28.833061
YAL058W_id003	CNE1	chrI	+	37464	38972	62.013000	12.452500	21.128799
YAL056C-A_mRNA	-	chrI	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	chrI	+	39234	42040	51.011204	10.243288	17.380316
YAL056W_id001	GPB2	chrI	+	39259	41901	62.011936	12.452287	21.128437
YAL055W	PEX22	chrI	+	42142	42838	9.798765	1.967638	3.338593
YAL055W_id001	PEX22	chrI	+	42177	42719	48.532707	9.745594	16.535852
YAL054C_id001	ACS1	chrI	-	42881	45022	48.212418	9.681279	16.426725
YAL053W	FLC2	chrI	+	45728	48310	234.210220	47.030506	79.799088
YAL053W_id001	FLC2	chrI	+	45899	48250	176.582489	35.458591	60.164421
YAL051W_mRNA	OAF1	chrI	+	48564	51707	84.456528	16.959267	28.775660
YAL049C	AIM2	chrI	-	51691	54082	153.235825	30.770468	52.209843
YAL049C_id002	AIM2	chrI	-	51855	52595	147.030197	29.524351	50.095486
YAL048C_mRNA	GEM1	chrI	-	52801	54789	44.996315	9.035470	15.330949
YAL047W-A	-	chrI	+	54209	55063	6.893659	1.384279	2.348778
YAL047W-A_id002	-	chrI	+	54584	54913	0.036783	0.007386	0.012533
YAL047C	SPC72	chrI	-	54931	56886	18.128551	3.640298	6.176682
YAL047C_id002	SPC72	chrI	-	54989	56857	26.969992	5.415700	9.189098
YAL046C	BOL3	chrI	-	56907	57544	47.671215	9.572602	16.242329
YAL044W-A	BOL1	chrI	+	56973	57958	61.540588	12.357638	20.967842
YAL046C_id002	BOL3	chrI	-	57029	57385	55.927029	11.230409	19.055214
YAL045C_mRNA	-	chrI	-	57488	57796	77.966179	15.655973	26.564297
YAL044W-A_id001	BOL1	chrI	+	57518	57850	90.258606	18.124350	30.752520
YAL044C	GCV3	chrI	-	57756	58476	908.447815	182.420578	309.522369
YAL044C_id001	GCV3	chrI	-	57950	58462	364.583374	73.210045	124.219254
YAL043C	PTA1	chrI	-	58499	61068	86.694061	17.408573	29.538025
YAL043C_id002	PTA1	chrI	-	58695	61052	87.103172	17.490723	29.677414
YAL042C-A_mRNA	-	chrI	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	chrI	+	61269	62680	343.354126	68.947113	116.986115
YAL042W_id005	ERV46	chrI	+	61316	62563	471.746735	94.728951	160.731491
YAL041W	CDC24	chrI	+	62773	65463	84.880844	17.044470	28.920233
YAL041W_id001	CDC24	chrI	+	62840	65404	82.947243	16.656195	28.261423
YAL040C	CLN3	chrI	-	65596	67848	80.549934	16.174805	27.444624
YAL040C_id001	CLN3	chrI	-	65778	67836	0.000000	0.000000	0.000000
YAL039C	CYC3	chrI	-	68629	69642	136.707764	27.451557	46.578472
YAL039C_id001	CYC3	chrI	-	68716	69525	66.411522	13.335744	22.627443
YAL038W	CDC19	chrI	+	71644	73448	6582.555664	1321.807983	2242.779785
YAL038W_id001	CDC19	chrI	+	71786	73288	14994.916992	3011.049316	5109.002930
YAL037C-B_mRNA	-	chrI	-	72326	73300	19.670372	3.949903	6.702003
YAL037C-A_id001	-	chrI	-	73426	73518	0.172043	0.034547	0.058618
YAL037W	-	chrI	+	73453	76400	157.638763	31.654602	53.709995
YAL037W_id002	-	chrI	+	74020	74823	0.055622	0.011169	0.018951
YAL036C	RBG1	chrI	-	74778	76207	0.000000	0.000000	0.000000
YAL036C_id001	RBG1	chrI	-	75043	76152	0.000000	0.000000	0.000000
YAL035W	FUN12	chrI	+	76365	79559	295.143219	59.266136	100.559914
YAL035W_id002	FUN12	chrI	+	76427	79435	189.460556	38.044567	64.552177
YAL034C-B_id001	-	chrI	-	79489	79842	0.357011	0.071689	0.121639
YAL034W-A	MTW1	chrI	+	79674	80744	15.306783	3.073673	5.215261
YAL034W-A_id002	MTW1	chrI	+	79718	80587	15.658688	3.144338	5.335160
YAL034C	FUN19	chrI	-	80549	82586	58.076332	11.661999	19.787516
YAL034C_id001	FUN19	chrI	-	80710	81951	1.004264	0.201661	0.342168
YAL033W	POP5	chrI	+	82701	83397	97.179993	19.514196	33.110744
YAL033W_id001	POP5	chrI	+	82706	83227	24.499334	4.919581	8.347306
YAL032C	PRP45	chrI	-	83192	84504	82.404610	16.547230	28.076540
YAL032C_id001	PRP45	chrI	-	83335	84474	19.379513	3.891497	6.602903
YAL031C	GIP4	chrI	-	84587	87031	47.877739	9.614074	16.312695
YAL031W-A_mRNA	-	chrI	+	84669	84977	0.000000	0.000000	0.000000
YAL031C_id001	GIP4	chrI	-	84749	87031	22.392872	4.496593	7.629602
YAL030W	SNC1	chrI	+	87264	88013	222.953415	44.770088	75.963715
YAL030W_id001	SNC1	chrI	+	87286	87752	0.000000	0.000000	0.000000
YAL029C_mRNA	MYO4	chrI	-	87855	92270	241.389725	48.472187	82.245255
YAL028W	FRT2	chrI	+	92852	94566	13.606884	2.732326	4.636078
YAL028W_id001	FRT2	chrI	+	92900	94486	9.356141	1.878757	3.187784
YAL027W	SAW1	chrI	+	94595	95583	31.013504	6.227657	10.566786
YAL027W_id002	SAW1	chrI	+	94687	95472	28.298656	5.682502	9.641795
YAL026C-A_mRNA	-	chrI	-	95386	95823	23.659748	4.750988	8.061246
YAL026C_mRNA	DRS2	chrI	-	95630	99697	228.217117	45.827061	77.757141
YNCA0001W_ncRNA	HRA1	chrI	+	99305	99868	44.976421	9.031476	15.324170
YAL025C	MAK16	chrI	-	99939	101168	144.185745	28.953169	49.126339
YAL025C_id002	MAK16	chrI	-	100225	101145	47.057041	9.449273	16.033070
YAL024C_mRNA	LTE1	chrI	-	101565	105872	53.065693	10.655839	18.080311
YAL023C	PMT2	chrI	-	106143	108671	626.586914	125.821587	213.487976
YAL023C_id001	PMT2	chrI	-	106272	108551	184.975800	37.144005	63.024147
YAL022C	FUN26	chrI	-	108732	110471	120.303246	24.157454	40.989201
YAL022C_id002	FUN26	chrI	-	108877	110430	100.816841	20.244492	34.349876
YAL021C	CCR4	chrI	-	110536	113403	139.503677	28.012991	47.531086
YAL021C_id001	CCR4	chrI	-	110846	113359	76.022476	15.265668	25.902048
YAL020C	ATS1	chrI	-	113468	114624	82.006996	16.467388	27.941069
YAL020C_id002	ATS1	chrI	-	113614	114615	44.126171	8.860742	15.034477
YAL019W-A_mRNA	-	chrI	+	114250	114819	8.021914	1.610838	2.733191
YAL019W_id001	FUN30	chrI	+	114919	118314	152.434921	30.609644	51.936966
YAL018C_id001	LDS1	chrI	-	118564	119541	1.918200	0.385184	0.653561
YAL017W_mRNA	PSK1	chrI	+	120225	124295	124.490791	24.998333	42.415962
YAL016C-B_mRNA	-	chrI	-	124307	124492	17.258064	3.465500	5.880093
YAL016C-A_mRNA	-	chrI	-	124755	125069	3.215923	0.645772	1.095715
YAL016W	TPD3	chrI	+	124786	126883	313.017090	62.855289	106.649818
YAL016W_id002	TPD3	chrI	+	124879	126786	68.906662	13.836781	23.477579
YAL015C	NTG1	chrI	-	126756	128110	39.266747	7.884946	13.378796
YAL015C_id002	NTG1	chrI	-	126903	128102	87.775429	17.625717	29.906464
YAL014C	SYN8	chrI	-	128031	129072	130.324341	26.169737	44.403542
YAL014C_id005	SYN8	chrI	-	128252	129019	76.971672	15.456271	26.225452
YAL013W	DEP1	chrI	+	129194	130583	37.528309	7.535860	12.786482
YAL013W_id002	DEP1	chrI	+	129270	130487	11.933208	2.396244	4.065831
YAL012W	CYS3	chrI	+	130686	132100	1374.320190	275.969910	468.252380
YAL012W_id001	CYS3	chrI	+	130799	131983	491.089355	98.613037	167.321823
YAL011W	SWC3	chrI	+	132169	134210	26.633781	5.348188	9.074546
YAL011W_id003	SWC3	chrI	+	132199	134076	22.442886	4.506637	7.646642
YAL010C	MDM10	chrI	-	134001	135688	43.200512	8.674865	14.719090
YAL010C_id004	MDM10	chrI	-	134184	135665	17.311773	3.476285	5.898392
YAL009W	SPO7	chrI	+	135408	136766	53.487869	10.740614	18.224154
YAL009W_id006	SPO7	chrI	+	135854	136633	70.095596	14.075522	23.882668
YAL008W	FUN14	chrI	+	136815	137718	154.941589	31.112995	52.791023
